ScoreHard,ScoreMedium,ScoreEasy,ScoreAverage,ScoreComp,predict,win,bonus,closePredict,Round1,condition,skillPre,confidentPre,trustPre,effPre,skillPost1,confidentPost1,trustPost1,effPost1,compPerfPost1,perfChangePost2,momPost2,skillPost2,confidentPost2,trustPost2,effPost2,compPerfPost2,perfChangePost2,momPreComp,skillPreComp,confidentPreComp,trustPreComp,effPreComp,compPerfPreComp,predict,likelyWin,expWin,perfComp,effortComp,familiar,education,age,gender,fun,mood
17,11,15,14,17,17,1,3,0,Easy,negMom,8,8,8,8,7,8,10,8.333333333,9,3,3,7,10,10,9,10,10,45,10,10,10,10,10,17,10,1,8,10,1,3,36,2,5,7
2,8,8,6,7,8,1,1,1,Easy,negMom,6,4,4,4.666666667,7,7,5,6.333333333,5,4,4,7,7,5,6.333333333,5,5,28,2,1,2,1.666666667,5,8,5,1,10,10,2,3,24,1,5,6
16,11,6,11,19,13,1,8,6,Easy,negMom,7,7,7,7,3,6,3,4,2,6,6,5,5,5,5,3,3,45,5,6,7,6,4,13,4,2,4,9,3,2,31,2,5,4
7,7,6,7,12,7,1,5,5,Easy,negMom,3,4,4,3.666666667,4,6,5,5,3,5,5,6,5,5,5.333333333,4,4,0,5,4,4,4.333333333,4,7,4,2,7,7,2,3,28,1,2,3
28,28,32,29,26,24,0,0,2,Easy,negMom,10,10,10,10,10,10,10,10,10,3,3,6,7,10,7.666666667,8,8,49,8,8,8,8,9,24,9,1,6,10,4,2,64,2,6,6
6,4,7,6,9,7,1,3,2,Easy,negMom,7,7,6,6.666666667,7,7,6,6.666666667,6,3,3,6,6,6,6,5,5,-6,6,6,6,6,5,7,5,1,7,7,2,2,39,2,5,4
30,16,7,18,23,20,1,5,3,Easy,negMom,7,6,6,6.333333333,6,6,4,5.333333333,5,6,6,7,6,6,6.333333333,5,5,44,10,9,9,9.333333333,9,20,9,2,7,7,4,3,30,1,5,6
5,8,8,7,13,5,1,6,8,Easy,negMom,7,6,6,6.333333333,3,3,4,3.333333333,4,4,4,4,3,3,3.333333333,4,4,-30,2,1,2,1.666666667,1,5,1,2,7,8,2,3,33,2,4,4
6,9,17,11,9,12,0,0,3,Easy,negMom,8,3,7,6,5,6,3,4.666666667,6,3,3,8,4,6,6,8,8,-39,5,5,7,5.666666667,8,12,8,1,7,8,2,2,22,2,2,3
23,30,35,29,32,38,1,3,6,Hard,posMom,10,10,10,10,8,8,8,8,9,5,5,9,9,9,9,9,9,35,10,10,10,10,10,38,10,1,5,8,3,3,29,1,5,6
10,14,16,13,9,13,0,0,4,Easy,negMom,6,6,6,6,4,4,5,4.333333333,2,2,2,3,3,3,3,3,3,-47,2,2,2,2,2,13,2,2,1,10,2,4,50,2,2,4
12,13,14,13,16,14,1,3,2,Easy,negMom,7,6,8,7,5,6,8,6.333333333,5,3,3,5,6,8,6.333333333,5,5,5,5,6,6,5.666666667,5,14,5,1,8,10,1,2,49,1,5,6
9,12,18,13,10,8,0,0,2,Hard,posMom,3,1,4,2.666666667,7,4,5,5.333333333,5,6,6,6,6,6,6,5,5,50,7,8,8,7.666666667,7,8,7,2,6,7,1,2,31,2,4,3
3,5,5,4,6,6,1,2,0,Hard,posMom,6,6,5,5.666666667,2,1,1,1.333333333,1,4,4,3,3,2,2.666666667,3,3,1,5,5,4,4.666666667,5,6,5,1,8,10,1,3,29,1,2,4
5,8,14,9,9,10,0,0,1,Hard,posMom,6,5,7,6,2,3,5,3.333333333,3,5,5,6,6,7,6.333333333,4,4,33,8,7,7,7.333333333,5,10,5,1,5,9,1,2,33,1,2,3
5,6,8,6,10,7,1,4,3,Hard,posMom,3,5,4,4,3,4,4,3.666666667,4,4,4,4,4,4,4,3,3,17,6,5,5,5.333333333,5,7,5,1,7,8,2,3,22,1,5,5
19,16,17,17,29,20,1,12,9,Easy,negMom,8,10,10,9.333333333,9,8,7,8,8,3,3,8,7,9,8,8,8,24,9,9,10,9.333333333,7,20,7,1,9,10,1,4,34,1,6,6
6,8,11,8,7,5,0,0,2,Easy,negMom,5,7,7,6.333333333,7,8,9,8,7,4,4,6,7,7,6.666666667,5,5,-10,4,5,4,4.333333333,3,5,3,2,3,8,3,2,29,2,4,4
3,1,2,2,5,3,1,3,2,Easy,negMom,9,10,10,9.666666667,2,2,3,2.333333333,2,1,1,1,1,1,1,1,1,-45,1,1,2,1.333333333,1,3,1,2,5,10,2,3,30,2,4,4
6,5,4,5,6,5,1,1,1,Easy,negMom,7,7,7,7,4,8,7,6.333333333,4,5,5,5,7,7,6.333333333,5,5,10,7,7,7,7,5,5,5,2,5,8,3,4,31,1,5,6
2,2,2,2,4,3,1,2,1,Hard,posMom,7,7,8,7.333333333,2,2,7,3.666666667,2,4,4,3,4,4,3.666666667,3,3,3,4,3,4,3.666666667,3,3,3,1,6,10,2,3,31,1,4,6
4,4,7,5,7,6,1,2,1,Hard,posMom,7,8,7,7.333333333,2,4,4,3.333333333,5,3,3,2,2,3,2.333333333,3,3,10,4,4,4,4,3,6,3,1,6,9,3,2,48,1,6,5
5,4,10,6,52,27,1,46,25,Hard,posMom,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,4,0,5,5,5,5,5,27,5,1,10,10,4,3,33,1,5,6
14,14,12,13,14,14,1,1,0,Easy,negMom,6,6,6,6,7,7,8,7.333333333,7,6,6,8,8,8,8,8,8,21,8,8,8,8,8,14,8,1,7,10,2,2,39,2,4,5
9,6,12,9,10,9,1,1,1,Easy,negMom,5,5,5,5,6,5,6,5.666666667,4,4,4,5,5,5,5,4,4,1,5,5,5,5,4,9,4,2,5,5,2,3,26,1,4,4
6,9,11,9,9,10,0,0,1,Hard,posMom,6,6,7,6.333333333,6,7,7,6.666666667,5,7,7,7,7,7,7,7,7,32,7,7,7,7,8,10,8,1,8,10,1,3,58,2,5,6
15,18,22,18,21,25,1,3,4,Hard,posMom,7,7,6,6.666666667,7,7,6,6.666666667,5,5,5,7,7,6,6.666666667,5,5,28,7,7,7,7,6,25,6,1,7,8,2,3,47,1,5,6
4,8,6,6,10,9,1,4,1,Hard,posMom,4,3,3,3.333333333,1,1,1,1,1,5,5,4,4,3,3.666666667,4,4,0,3,3,2,2.666666667,2,9,2,1,5,7,2,2,27,1,1,2
8,5,7,7,7,7,0,0,0,Easy,negMom,6,6,6,6,4,4,6,4.666666667,3,2,2,2,3,3,2.666666667,3,3,-5,4,4,5,4.333333333,4,7,4,2,4,9,2,2,61,2,1,3
2,5,11,6,6,1,0,0,5,Easy,negMom,3,2,3,2.666666667,4,4,4,4,2,1,1,1,1,1,1,1,1,-50,1,1,1,1,1,1,1,2,4,10,1,3,33,1,1,4
2,1,0,1,6,5,1,5,1,Easy,negMom,8,9,10,9,9,9,8,8.666666667,8,5,5,8,8,8,8,8,8,21,7,7,7,7,7,5,7,1,8,8,1,3,46,1,5,6
15,15,19,16,19,10,1,3,9,Easy,negMom,6,7,7,6.666666667,8,8,10,8.666666667,5,3,3,5,8,6,6.333333333,4,4,8,4,4,6,4.666666667,4,10,4,2,5,10,2,2,57,2,5,6
10,9,12,10,10,12,0,0,2,Easy,negMom,7,8,7,7.333333333,3,6,6,5,5,1,1,3,3,3,3,1,1,5,4,4,5,4.333333333,4,12,4,2,6,10,3,2,20,2,2,4
10,14,11,12,21,11,1,9,10,Easy,negMom,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,11,6,1,7,8,2,3,26,2,2,5
18,15,13,15,25,16,1,10,9,Easy,negMom,8,8,8,8,6,8,6,6.666666667,6,6,6,8,8,8,8,8,8,35,8,8,9,8.333333333,8,16,8,2,9,10,2,3,42,2,6,7
10,10,10,10,8,10,0,0,2,Hard,posMom,8,9,9,8.666666667,8,9,9,8.666666667,8,4,4,6,7,7,6.666666667,7,7,0,5,6,6,5.666666667,7,10,7,2,3,10,1,3,64,1,4,3
5,8,9,7,17,10,1,10,7,Hard,posMom,5,7,7,6.333333333,2,2,3,2.333333333,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,10,4,2,7,7,1,3,40,1,2,5
7,5,10,7,8,8,1,1,0,Hard,posMom,7,7,7,7,7,7,7,7,7,3,3,7,7,7,7,7,7,7,7,7,7,7,7,8,7,1,7,7,2,3,30,1,2,5
22,24,24,23,16,24,0,0,8,Hard,posMom,6,7,7,6.666666667,7,8,8,7.666666667,8,5,5,6,6,6,6,5,5,9,6,6,7,6.333333333,7,24,7,1,5,5,3,3,41,2,6,5
10,10,14,11,11,12,0,0,1,Hard,posMom,5,5,6,5.333333333,4,4,4,4,4,4,4,4,4,4,4,3,3,10,5,5,4,4.666666667,5,12,5,2,4,7,2,2,28,2,4,6
5,6,4,5,8,6,1,3,2,Hard,posMom,3,3,3,3,2,2,3,2.333333333,2,2,2,2,2,2,2,2,2,-37,2,2,2,2,2,6,2,1,3,10,2,3,36,2,6,4
6,8,7,7,7,4,0,0,3,Easy,negMom,3,3,3,3,4,3,3,3.333333333,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,4,2,2,3,9,3,2,39,2,4,5
3,6,7,5,5,3,0,0,2,Easy,negMom,9,9,9,9,8,8,8,8,9,3,3,9,8,9,8.666666667,8,8,-1,6,6,7,6.333333333,7,3,7,2,4,8,4,3,42,2,6,2
16,14,27,19,14,17,0,0,3,Hard,posMom,7,7,8,7.333333333,5,5,6,5.333333333,4,3,3,4,4,5,4.333333333,3,3,26,7,7,8,7.333333333,6,17,6,2,3,10,4,4,40,1,4,4
6,11,13,10,8,8,0,0,0,Hard,posMom,8,8,8,8,6,7,7,6.666666667,6,5,5,8,8,7,7.666666667,7,7,28,9,9,8,8.666666667,8,8,8,2,4,9,4,2,49,2,5,5
12,16,19,16,19,20,1,3,1,Hard,posMom,7,7,6,6.666666667,7,8,10,8.333333333,8,6,6,9,10,10,9.666666667,9,9,50,9,10,10,9.666666667,9,20,9,1,8,10,2,2,25,2,5,6
5,10,9,8,10,10,1,2,0,Easy,negMom,10,10,10,10,10,10,10,10,10,6,6,9,9,9,9,9,9,-8,6,6,6,6,5,10,5,1,10,10,2,3,26,2,6,5
4,7,10,7,9,7,1,2,2,Hard,posMom,4,5,5,4.666666667,3,3,3,3,4,4,4,4,4,5,4.333333333,4,4,14,5,5,5,5,4,7,4,2,5,10,2,2,64,1,4,5
11,7,7,8,14,10,1,6,4,Easy,negMom,8,9,9,8.666666667,7,7,8,7.333333333,4,4,4,6,7,7,6.666666667,5,5,26,8,8,8,8,6,10,6,1,9,10,3,2,55,1,4,6
11,8,10,10,10,10,0,0,0,Easy,negMom,7,7,8,7.333333333,7,8,8,7.666666667,7,3,3,5,7,6,6,7,7,11,7,7,7,7,7,10,7,2,4,8,2,2,37,1,2,3
15,17,18,17,16,17,0,0,1,Hard,posMom,9,9,9,9,7,7,8,7.333333333,5,6,6,8,10,10,9.333333333,5,5,49,10,10,10,10,5,17,5,1,1,10,4,2,31,2,6,3
14,19,24,19,30,30,1,11,0,Easy,negMom,6,5,6,5.666666667,6,5,6,5.666666667,5,3,3,5,5,5,5,5,5,-3,5,5,5,5,5,30,5,1,8,9,2,3,40,1,4,5
5,11,12,9,4,11,0,0,7,Hard,posMom,3,4,5,4,3,2,3,2.666666667,1,5,5,5,4,4,4.333333333,3,3,12,4,3,4,3.666666667,2,11,2,2,1,10,1,4,33,1,2,2
8,9,17,11,19,15,1,8,4,Hard,posMom,7,8,8,7.666666667,5,5,5,5,5,5,5,6,6,5,5.666666667,6,6,32,8,9,8,8.333333333,7,15,7,1,7,8,2,2,44,2,4,6
13,15,13,14,18,12,1,4,6,Easy,negMom,6,7,7,6.666666667,5,4,6,5,4,5,5,5,6,7,6,5,5,6,3,4,5,4,5,12,5,2,6,9,2,3,47,1,4,6
23,29,28,27,21,25,0,0,4,Easy,negMom,6,6,7,6.333333333,5,5,6,5.333333333,4,5,5,4,4,5,4.333333333,4,4,-3,3,3,4,3.333333333,3,25,3,2,1,9,3,3,51,2,4,4
4,6,9,6,7,7,1,1,0,Hard,posMom,7,7,7,7,4,4,5,4.333333333,4,5,5,7,8,7,7.333333333,5,5,32,8,8,8,8,7,7,7,1,7,10,3,2,70,2,6,7
9,7,8,8,7,8,0,0,1,Easy,negMom,2,4,5,3.666666667,4,4,4,4,5,3,3,5,5,5,5,5,5,17,5,6,6,5.666666667,6,8,6,2,4,8,1,3,43,1,4,4
7,9,14,10,8,7,0,0,1,Hard,posMom,9,9,9,9,5,5,5,5,5,4,4,6,6,6,6,6,6,20,7,7,7,7,7,7,7,2,4,9,5,2,39,2,5,3
10,14,17,14,15,20,1,1,5,Hard,posMom,8,9,9,8.666666667,6,6,9,7,8,5,5,9,9,9,9,8,8,45,9,9,9,9,8,20,8,1,8,10,1,2,39,1,5,6
2,6,13,7,7,10,0,0,3,Hard,posMom,8,9,9,8.666666667,5,3,6,4.666666667,5,6,6,9,8,6,7.666666667,9,9,35,9,8,8,8.333333333,7,10,7,1,9,8,2,3,27,1,6,6
1,2,5,3,3,2,0,0,1,Easy,negMom,5,5,6,5.333333333,3,3,3,3,4,2,2,1,1,1,1,2,2,-46,1,1,1,1,1,2,1,2,5,10,2,2,27,2,4,3
10,8,17,12,15,13,1,3,2,Hard,posMom,6,6,6,6,6,6,6,6,5,3,3,5,5,5,5,5,5,24,7,7,7,7,6,13,6,1,7,9,2,3,36,1,4,5
2,2,5,3,5,3,1,2,2,Easy,negMom,8,8,8,8,8,8,8,8,8,3,3,5,5,5,5,3,3,-24,5,5,5,5,3,3,3,2,6,8,2,3,38,2,5,6
4,7,6,6,3,5,0,0,2,Hard,posMom,10,10,8,9.333333333,8,3,5,5.333333333,2,5,5,4,3,4,3.666666667,2,2,20,9,6,9,8,8,5,8,2,1,10,1,2,29,1,2,3
5,1,4,3,5,4,1,2,1,Easy,negMom,6,8,8,7.333333333,3,2,5,3.333333333,2,1,1,1,1,4,2,1,1,-39,1,1,1,1,1,4,1,2,1,5,1,2,26,2,2,4
11,10,11,11,15,12,1,4,3,Easy,negMom,7,9,7,7.666666667,8,8,9,8.333333333,6,4,4,8,10,9,9,10,10,22,9,9,9,9,9,12,9,1,10,9,2,3,38,2,6,7
4,7,8,6,9,6,1,3,3,Easy,negMom,6,7,7,6.666666667,6,6,6,6,6,3,3,5,5,5,5,5,5,-43,1,1,1,1,4,6,4,1,6,10,1,2,39,1,1,1
6,12,11,10,14,11,1,4,3,Hard,posMom,5,6,6,5.666666667,5,4,5,4.666666667,5,5,5,6,5,6,5.666666667,6,6,5,5,5,5,5,5,11,5,1,7,8,2,3,51,1,4,6
7,8,8,8,10,7,1,2,3,Hard,posMom,7,7,8,7.333333333,7,6,6,6.333333333,5,5,5,8,8,7,7.666666667,6,6,23,7,8,7,7.333333333,5,7,5,2,10,10,3,3,21,2,6,6
5,8,10,8,8,0,0,0,8,Hard,posMom,7,7,8,7.333333333,4,7,7,6,5,5,5,7,7,8,7.333333333,6,6,50,8,8,8,8,7,0,7,1,7,10,3,2,58,2,5,6
8,13,15,12,20,8,1,8,12,Easy,negMom,10,10,10,10,9,9,10,9.333333333,8,3,3,8,8,8,8,8,8,-20,7,7,7,7,7,8,7,1,10,10,2,3,34,1,6,6
4,12,13,10,8,12,0,0,4,Hard,posMom,7,7,7,7,5,5,5,5,7,7,7,10,10,10,10,10,10,50,10,10,10,10,10,12,10,1,7,10,3,3,55,1,5,6
7,8,18,11,8,16,0,0,8,Hard,posMom,6,6,6,6,4,6,6,5.333333333,4,5,5,6,5,6,5.666666667,4,4,14,7,7,7,7,5,16,5,1,4,8,2,3,25,1,4,4
10,17,30,19,26,15,1,7,11,Hard,posMom,10,10,10,10,8,10,8,8.666666667,10,6,6,7,9,7,7.666666667,8,8,46,10,10,10,10,10,15,10,1,10,10,1,3,30,2,2,6
12,8,13,11,13,13,1,2,0,Easy,negMom,4,3,5,4,5,6,7,6,5,3,3,4,4,8,5.333333333,4,4,4,6,6,7,6.333333333,7,13,7,1,7,7,3,3,25,1,5,6
17,17,11,15,18,17,1,3,1,Easy,negMom,8,8,8,8,5,8,8,7,5,6,6,8,9,9,8.666666667,8,8,31,8,8,8,8,8,17,8,1,9,10,3,3,34,2,5,6
20,44,30,31,40,35,1,9,5,Easy,negMom,8,8,8,8,6,6,6,6,7,5,5,6,6,6,6,7,7,-9,4,4,4,4,6,35,6,1,6,7,4,3,32,1,5,3
3,7,8,6,7,5,1,1,2,Hard,posMom,3,3,3,3,1,2,2,1.666666667,1,6,6,1,2,3,2,1,1,25,1,3,2,2,1,5,1,2,3,10,2,3,58,1,2,5
3,14,12,10,8,6,0,0,2,Easy,negMom,9,10,9,9.333333333,7,6,7,6.666666667,7,6,6,8,9,7,8,7,7,-14,5,6,8,6.333333333,7,6,7,1,9,10,4,3,39,2,5,5
9,14,13,12,11,11,0,0,0,Easy,negMom,9,10,10,9.666666667,10,10,10,10,9,6,6,10,10,10,10,9,9,40,8,10,10,9.333333333,9,11,9,1,9,10,3,3,39,2,5,6
5,6,11,7,11,8,1,4,3,Hard,posMom,7,7,7,7,4,4,4,4,5,4,4,4,4,4,4,5,5,0,4,4,4,4,5,8,5,2,6,8,1,4,32,1,5,6
3,6,10,6,6,8,0,0,2,Hard,posMom,8,8,8,8,2,6,6,4.666666667,2,5,5,4,4,4,4,3,3,22,5,5,5,5,5,8,5,1,4,10,1,3,58,1,6,3
7,8,8,8,9,9,1,1,0,Easy,negMom,6,6,7,6.333333333,5,6,7,6,4,4,4,5,6,5,5.333333333,4,4,-1,3,5,4,4,3,9,3,2,5,8,2,3,35,2,4,4
6,9,12,9,8,8,0,0,0,Easy,negMom,6,7,7,6.666666667,8,8,10,8.666666667,5,4,4,7,7,8,7.333333333,5,5,-29,3,3,3,3,3,8,3,1,5,10,2,2,25,2,4,4
11,15,17,14,14,14,0,0,0,Easy,negMom,6,6,6,6,6,6,6,6,5,3,3,5,5,5,5,5,5,0,5,5,5,5,4,14,4,2,3,10,3,3,31,2,4,4
2,8,12,7,7,4,0,0,3,Easy,negMom,4,3,4,3.666666667,6,5,5,5.333333333,5,3,3,4,3,4,3.666666667,4,4,-39,3,2,2,2.333333333,2,4,2,2,6,10,1,2,34,2,2,6
14,14,18,15,21,16,1,6,5,Hard,posMom,9,9,9,9,7,7,7,7,5,4,4,7,7,7,7,5,5,25,8,8,8,8,6,16,6,1,9,10,3,2,30,2,6,7
2,4,10,5,5,6,0,0,1,Hard,posMom,7,7,7,7,2,2,2,2,3,5,5,5,5,5,5,5,5,42,7,6,6,6.333333333,6,6,6,1,4,10,1,3,27,1,4,3
8,12,18,13,15,15,1,2,0,Hard,posMom,9,9,10,9.333333333,7,8,10,8.333333333,9,7,7,9,10,10,9.666666667,9,9,50,10,10,10,10,9,15,9,1,10,10,3,4,32,2,6,6
1,5,8,5,4,5,0,0,1,Hard,posMom,9,9,9,9,1,1,1,1,1,6,6,5,5,5,5,5,5,30,8,8,8,8,8,5,8,2,1,8,1,2,31,2,2,5
2,2,2,2,3,2,1,1,1,Easy,negMom,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,0,1,1,1,1,1,2,1,2,2,10,1,3,27,1,2,6
9,14,22,15,25,22,1,10,3,Hard,posMom,10,10,10,10,6,6,10,7.333333333,10,6,6,8,8,10,8.666666667,10,10,50,10,10,10,10,10,22,10,1,7,10,2,2,35,2,6,7
2,8,5,5,6,1,1,1,5,Hard,posMom,1,2,1,1.333333333,1,1,1,1,1,7,7,9,8,9,8.666666667,10,10,-14,3,2,4,3,4,1,4,2,7,10,2,2,22,2,6,7
7,12,18,12,12,15,0,0,3,Easy,negMom,10,10,10,10,10,10,10,10,10,3,3,10,10,10,10,10,10,50,10,10,10,10,10,15,10,1,10,10,1,2,27,1,6,7
4,4,11,6,7,10,1,1,3,Hard,posMom,4,6,5,5,3,3,4,3.333333333,3,4,4,4,5,4,4.333333333,4,4,14,7,7,7,7,6,10,6,1,5,10,1,3,28,2,4,6
10,13,16,13,20,10,1,7,10,Hard,posMom,10,10,10,10,7,7,7,7,5,5,5,7,7,7,7,6,6,50,9,9,9,9,8,10,8,1,6,10,3,3,40,2,5,6
11,8,15,11,17,15,1,6,2,Hard,posMom,8,8,10,8.666666667,8,7,7,7.333333333,6,3,3,6,6,6,6,6,6,21,7,7,8,7.333333333,8,15,8,1,8,10,3,2,33,1,4,7
9,12,21,14,16,17,1,2,1,Hard,posMom,8,8,9,8.333333333,7,7,8,7.333333333,6,6,6,8,8,8,8,7,7,49,9,9,9,9,8,17,8,1,7,10,2,2,38,2,6,7
11,15,13,13,19,18,1,6,1,Hard,posMom,10,10,10,10,5,6,5,5.333333333,5,6,6,7,8,7,7.333333333,7,7,20,8,8,8,8,7,18,7,1,9,10,1,2,21,2,6,6
6,5,9,7,11,9,1,4,2,Hard,posMom,7,7,6,6.666666667,5,6,6,5.666666667,4,4,4,7,6,7,6.666666667,4,4,22,7,8,7,7.333333333,6,9,6,1,9,9,2,2,22,1,5,6
3,16,21,13,14,13,1,1,1,Easy,negMom,5,5,5,5,6,6,6,6,5,3,3,4,4,4,4,5,5,-34,2,2,2,2,3,13,3,1,4,6,2,3,23,1,4,4
3,5,4,4,7,5,1,3,2,Hard,posMom,5,4,3,4,1,1,3,1.666666667,2,5,5,4,5,3,4,5,5,-4,3,2,3,2.666666667,5,5,5,1,8,10,2,3,25,1,6,6
14,18,21,18,17,17,0,0,0,Easy,negMom,7,7,7,7,7,8,7,7.333333333,7,3,3,6,6,6,6,6,6,-1,5,5,5,5,5,17,5,1,5,7,4,3,37,2,4,4
5,2,7,5,6,6,1,1,0,Hard,posMom,7,7,7,7,5,6,5,5.333333333,6,3,3,6,5,6,5.666666667,5,5,6,6,7,6,6.333333333,6,6,6,1,6,6,1,3,29,1,2,4
13,24,30,22,18,26,0,0,8,Hard,posMom,10,10,10,10,10,10,10,10,8,7,7,10,10,10,10,10,10,50,10,10,10,10,10,26,10,1,1,10,2,4,36,2,6,5
6,6,11,8,9,7,1,1,2,Easy,negMom,4,4,4,4,6,5,5,5.333333333,5,3,3,3,3,3,3,4,4,-5,2,2,3,2.333333333,3,7,3,2,4,9,2,2,30,2,4,3
46,51,36,44,52,52,1,8,0,Easy,negMom,4,3,5,4,7,7,7,7,5,7,7,9,9,9,9,9,9,17,6,6,6,6,7,52,7,1,10,10,1,3,26,2,6,7
10,9,13,11,18,11,1,7,7,Easy,negMom,5,6,6,5.666666667,5,6,6,5.666666667,5,3,3,5,5,5,5,5,5,17,5,5,5,5,5,11,5,1,7,7,1,2,26,2,2,5
7,13,13,11,9,11,0,0,2,Hard,posMom,10,10,10,10,1,1,1,1,4,7,7,8,9,10,9,6,6,0,7,7,6,6.666666667,5,11,5,1,2,10,1,3,33,2,4,2
16,16,20,17,20,19,1,3,1,Easy,negMom,7,7,7,7,8,8,8,8,8,3,3,7,7,7,7,7,7,1,8,8,8,8,8,19,8,1,8,9,2,3,29,2,5,5
3,13,11,9,10,9,1,1,1,Easy,negMom,4,4,3,3.666666667,9,9,10,9.333333333,6,5,5,7,7,7,7,6,6,-1,8,6,5,6.333333333,5,9,5,2,6,9,2,2,21,2,2,6
8,5,10,8,12,10,1,4,2,Easy,negMom,8,10,9,9,6,8,7,7,5,2,2,3,4,5,4,4,4,6,7,6,7,6.666666667,5,10,5,1,9,10,2,3,23,1,5,6
3,16,15,11,15,10,1,4,5,Hard,posMom,2,2,2,2,2,2,3,2.333333333,3,6,6,8,8,8,8,7,7,26,8,8,8,8,7,10,7,2,9,8,2,3,30,2,6,6
2,2,5,3,9,6,1,6,3,Hard,posMom,4,6,3,4.333333333,2,3,4,3,3,3,3,3,3,4,3.333333333,4,4,10,6,8,6,6.666666667,5,6,5,2,5,8,2,2,24,2,2,4
17,20,28,22,20,23,0,0,3,Hard,posMom,6,6,6,6,5,5,5,5,5,4,4,5,5,5,5,5,5,14,7,7,7,7,6,23,6,1,4,10,3,3,25,2,4,5
8,10,15,11,11,11,0,0,0,Easy,negMom,7,7,7,7,8,8,8,8,7,3,3,6,6,6,6,6,6,13,6,6,6,6,6,11,6,1,4,10,2,3,27,2,5,3
4,7,10,7,7,7,0,0,0,Hard,posMom,5,5,7,5.666666667,4,5,5,4.666666667,4,5,5,6,6,6,6,5,5,21,7,7,7,7,5,7,5,2,6,8,2,3,26,2,4,4
7,8,5,7,7,3,0,0,4,Easy,negMom,6,6,6,6,1,1,5,2.333333333,5,5,5,5,5,5,5,5,5,2,1,1,2,1.333333333,2,3,2,2,1,6,2,3,31,2,1,4
6,9,10,8,10,8,1,2,2,Hard,posMom,5,4,4,4.333333333,1,1,1,1,1,5,5,3,3,3,3,3,3,4,3,5,5,4.333333333,3,8,3,2,5,8,1,3,28,2,5,4
3,4,7,5,4,4,0,0,0,Hard,posMom,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,4,1,1,1,1,1,4,1,2,1,10,3,3,27,2,1,4
13,12,16,14,21,16,1,7,5,Easy,negMom,7,7,7,7,7,7,7,7,7,3,3,6,6,6,6,6,6,10,7,7,7,7,7,16,7,1,8,8,3,2,38,1,2,6
3,7,6,5,7,4,1,2,3,Easy,negMom,8,8,9,8.333333333,6,7,7,6.666666667,7,5,5,7,8,8,7.666666667,8,8,-3,4,5,5,4.666666667,5,4,5,2,8,9,2,3,47,1,4,5
3,7,5,5,7,7,1,2,0,Easy,negMom,8,10,10,9.333333333,4,3,10,5.666666667,3,5,5,4,4,7,5,3,3,-16,1,1,8,3.333333333,1,7,1,2,1,10,2,2,34,2,4,3
5,6,12,8,7,4,0,0,3,Easy,negMom,5,7,7,6.333333333,5,7,7,6.333333333,5,3,3,3,5,5,4.333333333,5,5,0,5,5,5,5,5,4,5,2,5,6,2,3,66,1,1,4
6,3,8,6,10,10,1,4,0,Easy,negMom,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,-40,1,1,1,1,1,10,1,2,5,8,3,2,27,1,1,3
0,11,9,7,5,5,0,0,0,Hard,posMom,6,3,7,5.333333333,4,3,4,3.666666667,3,4,4,4,7,5,5.333333333,5,5,-10,5,5,6,5.333333333,3,5,3,1,5,6,3,3,30,1,1,2
9,11,15,12,16,13,1,4,3,Hard,posMom,4,3,4,3.666666667,2,2,2,2,2,5,5,3,3,4,3.333333333,2,2,10,5,4,4,4.333333333,2,13,2,2,5,8,2,3,40,1,2,4
10,8,8,9,17,10,1,8,7,Easy,negMom,6,6,6,6,7,7,7,7,6,4,4,5,5,4,4.666666667,5,5,-1,5,5,5,5,5,10,5,2,6,6,3,3,28,1,2,3
8,4,14,9,9,10,0,0,1,Easy,negMom,10,10,10,10,6,6,6,6,7,5,5,4,3,3,3.333333333,4,4,-40,3,3,3,3,2,10,2,1,10,10,4,2,24,2,6,5
1,1,4,2,4,3,1,2,1,Hard,posMom,3,4,4,3.666666667,1,1,1,1,1,4,4,1,1,2,1.333333333,1,1,10,3,3,3,3,2,3,2,1,4,10,1,3,62,1,5,6
4,7,11,7,4,4,0,0,0,Easy,negMom,6,6,6,6,6,6,6,6,4,4,4,5,5,5,5,4,4,0,5,4,4,4.333333333,3,4,3,2,3,8,2,2,47,1,1,3
8,9,13,10,9,10,0,0,1,Hard,posMom,7,7,7,7,6,6,6,6,5,5,5,7,7,7,7,5,5,35,7,7,7,7,5,10,5,2,2,10,2,2,32,2,5,5
11,8,18,12,18,20,1,6,2,Easy,negMom,6,9,9,8,8,9,6,7.666666667,4,1,1,3,4,6,4.333333333,3,3,-4,5,5,6,5.333333333,4,20,4,2,6,10,2,3,34,2,6,6
20,16,19,18,20,22,1,2,2,Easy,negMom,9,9,9,9,7,7,7,7,8,3,3,8,7,7,7.333333333,7,7,7,8,8,8,8,8,22,8,1,9,9,3,3,32,2,2,6
