ScoreHard,ScoreMedium,ScoreEasy,ScoreAverage,ScoreComp,predict,win,bonus,closePredict,Round1,condition,skillPre,confidentPre,trustPre,effPre,skillPost1,confidentPost1,trustPost1,effPost1,compPerfPost1,perfChangePost2,momPost2,skillPost2,confidentPost2,trustPost2,effPost2,compPerfPost2,perfChangePost2,momPreComp,skillPreComp,confidentPreComp,trustPreComp,effPreComp,compPerfPreComp,predict,likelyWin,expWin,perfComp,effortComp,familiar,education,age,gender,fun,mood
11,16,25,17,17,20,0,0,3,Easy,negMom,6,8,10,8,8,8,8,8,8,3,3,6,7,6,6.333333333,5,5,2,5,5,5,5,5,20,5,2,5,9,1,2,36,2,4,1
7,9,13,10,9,10,0,0,1,Easy,negMom,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,1,5,5,5,5,5,10,5,1,5,10,2,3,54,1,2,6
8,8,13,10,7,12,0,0,5,Easy,negMom,7,8,8,7.666666667,7,6,8,7,6,3,3,6,7,6,6.333333333,7,7,-3,7,6,7,6.666666667,8,12,8,1,5,6,1,2,33,1,2,3
6,10,12,9,13,15,1,4,2,Easy,negMom,6,6,6,6,5,6,5,5.333333333,4,3,3,4,5,5,4.666666667,4,4,-16,3,3,3,3,3,15,3,1,6,9,2,4,26,1,4,5
11,8,10,10,8,6,0,0,2,Hard,posMom,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,0,4,4,4,4,4,6,4,2,4,7,1,2,62,2,1,4
2,8,10,7,4,8,0,0,4,Hard,posMom,3,3,3,3,1,1,1,1,1,7,7,10,10,10,10,5,5,50,10,10,10,10,7,8,7,1,1,10,2,3,32,1,4,3
4,4,7,5,5,4,0,0,1,Hard,posMom,4,4,4,4,3,3,3,3,2,4,4,2,2,2,2,2,2,4,2,2,2,2,2,4,2,2,2,8,2,2,23,2,1,3
9,10,12,10,11,11,1,1,0,Easy,negMom,10,10,10,10,10,10,10,10,10,3,3,10,10,10,10,10,10,50,10,10,10,10,8,11,8,1,8,10,2,3,44,2,2,5
20,20,17,19,31,19,1,12,12,Hard,posMom,5,5,5,5,7,7,7,7,7,4,4,8,8,8,8,10,10,50,10,10,10,10,10,19,10,1,10,10,5,2,23,1,6,7
6,10,10,9,8,9,0,0,1,Hard,posMom,4,5,5,4.666666667,2,2,2,2,1,5,5,4,4,4,4,2,2,6,2,3,3,2.666666667,2,9,2,2,3,9,2,3,21,2,2,3
6,5,12,8,8,3,0,0,5,Hard,posMom,2,2,3,2.333333333,2,2,2,2,2,1,1,2,2,2,2,2,2,-5,2,2,2,2,2,3,2,2,6,10,1,2,39,2,1,4
3,4,5,4,8,4,1,4,4,Hard,posMom,3,3,3,3,2,2,2,2,2,4,4,3,3,3,3,2,2,-19,4,3,3,3.333333333,3,4,3,2,5,10,2,2,32,2,4,6
9,10,5,8,8,8,0,0,0,Easy,negMom,5,6,6,5.666666667,4,4,4,4,3,5,5,5,5,6,5.333333333,4,4,-3,3,3,4,3.333333333,3,8,3,2,4,10,2,2,39,2,5,4
9,8,17,11,3,4,0,0,1,Easy,negMom,8,6,7,7,7,5,6,6,6,5,5,7,5,6,6,6,6,-9,7,5,6,6,8,4,8,2,5,3,1,2,28,2,2,3
16,19,25,20,18,20,0,0,2,Easy,negMom,5,4,6,5,7,7,8,7.333333333,5,3,3,5,5,6,5.333333333,5,5,0,4,4,6,4.666666667,5,20,5,2,2,10,2,2,32,2,5,6
22,31,38,30,33,20,1,3,13,Easy,negMom,6,7,7,6.666666667,7,7,8,7.333333333,6,4,4,7,7,6,6.666666667,5,5,15,6,5,5,5.333333333,5,20,5,2,6,8,3,3,27,2,5,5
9,8,17,11,13,11,1,2,2,Easy,negMom,6,6,6,6,6,6,6,6,4,2,2,3,3,3,3,2,2,50,4,4,4,4,4,11,4,1,6,10,2,3,35,2,5,6
8,8,15,10,10,13,0,0,3,Hard,posMom,3,3,3,3,2,2,2,2,2,4,4,2,2,2,2,2,2,8,3,3,3,3,3,13,3,2,1,10,2,2,27,2,2,3
0,0,0,0,0,0,0,0,0,Easy,negMom,6,6,5,5.666666667,6,5,8,6.333333333,7,5,5,4,6,5,5,6,6,-14,4,4,6,4.666666667,6,0,6,1,7,7,1,3,27,1,4,7
7,11,9,9,8,9,0,0,1,Easy,negMom,7,8,10,8.333333333,6,7,8,7,6,5,5,7,7,8,7.333333333,6,6,0,3,3,3,3,4,9,4,2,2,10,2,2,27,1,6,4
