id,draw,R,P,S,,W,L,D,,RT after W,RT after L,RT after D,,WinStay,LoseShift,DrawShift,,Final Score
25,0,0.45,0.233333333333333,0.316666666666667,,0.325,0.283333333333333,0.391666666666667,,284,150,267,,0.435897435897436,0.911764705882353,0.630434782608696,,5
26,0,0.333333333333333,0.325,0.341666666666667,,0.366666666666667,0.383333333333333,0.25,,1101,1185,959.5,,0.181818181818182,0.955555555555555,0.833333333333333,,-2
27,0,0.383333333333333,0.325,0.291666666666667,,0.325,0.341666666666667,0.333333333333333,,1385,792.5,467.5,,0.128205128205128,0.9,0.75,,-2
28,0,0.333333333333333,0.325,0.341666666666667,,0.3,0.366666666666667,0.333333333333333,,117,100,142,,0.0555555555555556,0.930232558139535,0.9,,-8
29,0,0.258333333333333,0.3,0.441666666666667,,0.358333333333333,0.375,0.266666666666667,,125.5,167,275.5,,0.547619047619048,0.711111111111111,0.6875,,-2
30,0,0.383333333333333,0.266666666666667,0.35,,0.291666666666667,0.35,0.358333333333333,,250,317,217,,0.2,0.878048780487805,0.86046511627907,,-7
31,0,0.258333333333333,0.433333333333333,0.308333333333333,,0.358333333333333,0.308333333333333,0.333333333333333,,1018,826,1042.5,,0.0930232558139535,0.861111111111111,0.775,,6
32,0,0.408333333333333,0.333333333333333,0.258333333333333,,0.341666666666667,0.391666666666667,0.266666666666667,,1001,417,734,,0.0731707317073171,0.829787234042553,0.838709677419355,,-6
33,0,0.466666666666667,0.308333333333333,0.225,,0.308333333333333,0.325,0.366666666666667,,217,317,300,,0.378378378378378,0.769230769230769,0.651162790697674,,-2
34,0,0.366666666666667,0.4,0.233333333333333,,0.358333333333333,0.341666666666667,0.3,,200,158.5,117,,0.651162790697674,0.825,0.805555555555556,,2
35,0,0.283333333333333,0.308333333333333,0.408333333333333,,0.308333333333333,0.358333333333333,0.333333333333333,,175.5,167,125.5,,0.25,0.720930232558139,0.7,,-6
36,0,0.333333333333333,0.308333333333333,0.358333333333333,,0.3,0.425,0.275,,467.5,317,292,,0.361111111111111,0.92156862745098,0.8125,,-15
37,0,0.341666666666667,0.333333333333333,0.325,,0.283333333333333,0.35,0.366666666666667,,1201,667,575.5,,0.352941176470588,0.853658536585366,0.818181818181818,,-8
38,0,0.358333333333333,0.391666666666667,0.25,,0.308333333333333,0.391666666666667,0.3,,317,350,367,,0.459459459459459,0.936170212765957,0.857142857142857,,-10
39,0,0.325,0.408333333333333,0.266666666666667,,0.266666666666667,0.425,0.308333333333333,,1268,943,868,,0.21875,0.4,0.351351351351351,,-19
40,0,0.316666666666667,0.35,0.333333333333333,,0.316666666666667,0.4,0.283333333333333,,934,567,584,,0.342105263157895,0.895833333333333,0.696969696969697,,-10
1,1,0.466666666666667,0.208333333333333,0.325,,0.358333333333333,0.275,0.366666666666667,,475.5,517,358.5,,0.595238095238095,0.696969696969697,0.477272727272727,,54
2,1,0.325,0.291666666666667,0.383333333333333,,0.333333333333333,0.375,0.291666666666667,,317,325.5,317,,0.25,1,0.8,,30
3,1,0.425,0.3,0.275,,0.358333333333333,0.383333333333333,0.258333333333333,,358.5,342,434,,0.30952380952381,0.826086956521739,0.774193548387097,,28
4,1,0.316666666666667,0.425,0.258333333333333,,0.3,0.333333333333333,0.366666666666667,,417,467.5,450,,0.333333333333333,0.7,0.651162790697674,,40
5,1,0.408333333333333,0.316666666666667,0.275,,0.316666666666667,0.325,0.358333333333333,,308.5,234,250,,0.342105263157895,0.743589743589744,0.833333333333333,,42
6,1,0.258333333333333,0.3,0.441666666666667,,0.291666666666667,0.433333333333333,0.275,,501,334,334,,0.857142857142857,0.313725490196078,0.121212121212121,,16
7,1,0.433333333333333,0.275,0.291666666666667,,0.341666666666667,0.283333333333333,0.375,,350,317,367,,0.658536585365854,0.764705882352941,0.386363636363636,,52
8,1,0.35,0.416666666666667,0.233333333333333,,0.316666666666667,0.383333333333333,0.3,,417,384,483.5,,0.605263157894737,0.777777777777778,0.555555555555556,,28
