sid,group,nam,progressive,dwipc,dwfpc,ipc,fpc,sc_flat,sc_lep
127,0,2,False,0.711111111111111,0.8777777777777778,0.7333333333333333,0.9111111111111111,0.22319999999999998,0.23506976744186062
128,0,3,False,0.6666666666666667,0.8666666666666666,0.7111111111111111,0.8888888888888888,0.30140606060606057,0.27116665840070103
129,0,2,False,0.5444444444444445,0.6,0.5777777777777778,0.6666666666666666,0.5306349206349206,0.45467858537323896
130,0,3,True,0.6444444444444444,0.8333333333333334,0.7333333333333333,0.8222222222222223,0.27561538461538465,0.2523584786772861
131,0,1,False,0.49999999999999994,0.5666666666666667,0.4222222222222222,0.4666666666666666,0.27880000000000005,0.1440082644628097
132,0,2,False,0.4666666666666667,0.7333333333333334,0.48888888888888893,0.8222222222222223,0.183830303030303,0.19507220394752778
133,0,3,True,0.47777777777777775,0.9333333333333333,0.5555555555555555,0.9111111111111111,0.4894909090909092,0.28305250783699076
134,0,2,False,0.5222222222222221,0.7999999999999999,0.5333333333333333,0.8222222222222223,0.31933333333333336,0.3694468494468494
136,0,1,True,0.5666666666666667,0.6222222222222222,0.5777777777777778,0.688888888888889,0.03818181818181816,0.01988636363636365
137,0,2,True,0.5222222222222221,0.6777777777777778,0.48888888888888893,0.7555555555555555,0.5375584415584416,0.5405687516343256
138,0,1,True,0.6555555555555554,0.6888888888888889,0.6666666666666666,0.7333333333333334,0.010666666666666661,0.0054644808743169355
139,0,0,True,0.6444444444444444,0.6444444444444444,0.6444444444444444,0.6444444444444444,0.5776920634920636,0.5770000637470519
140,0,2,False,0.5,0.7555555555555555,0.48888888888888893,0.8222222222222223,0.3233333333333333,0.19016759679410292
141,0,2,False,0.6666666666666667,0.7777777777777777,0.7111111111111111,0.8444444444444444,0.2533444444444444,0.106751884627991
142,0,3,False,0.7222222222222221,0.8111111111111111,0.7333333333333333,0.8666666666666666,0.33257142857142863,0.28422673422673417
143,0,2,True,0.7,0.8333333333333333,0.7555555555555555,0.8666666666666666,0.22089682539682542,0.14287807246668027
144,0,1,False,0.5777777777777777,0.6777777777777778,0.5777777777777778,0.6666666666666666,0.07039999999999999,0.03577235772357724
145,0,2,True,0.6444444444444444,0.5888888888888888,0.6444444444444444,0.6666666666666666,0.2565128205128205,0.1909302375439499
146,0,3,False,0.6444444444444444,0.9777777777777777,0.6888888888888888,0.9777777777777777,0.47952857142857147,0.41622511666371337
147,0,1,False,0.5888888888888888,0.8111111111111111,0.6,0.7777777777777778,0.46640909090909094,0.4681435137895811
148,0,2,True,0.6888888888888889,0.7444444444444445,0.7111111111111111,0.7777777777777777,0.3955238095238095,0.33052802486176097
150,0,1,True,0.5777777777777777,0.6111111111111112,0.6,0.6666666666666666,0.0,0.0
153,0,3,True,0.7,0.8444444444444443,0.7555555555555555,0.8666666666666667,0.5631298701298701,0.560679958807712
154,0,3,True,0.611111111111111,0.8666666666666667,0.6222222222222222,0.9111111111111111,0.36883333333333335,0.2904914898510723
155,0,3,False,0.7333333333333332,0.8777777777777778,0.7555555555555555,0.7999999999999999,0.4552207792207792,0.4492886861074978
156,0,3,False,0.6444444444444444,0.8222222222222222,0.688888888888889,0.8222222222222223,0.49326190476190473,0.4669366340066266
157,0,2,True,0.7,0.7555555555555555,0.7111111111111111,0.8222222222222223,0.4721777777777778,0.32048171990645613
158,0,3,False,0.7999999999999999,0.8333333333333333,0.7111111111111111,0.8666666666666666,0.5288333333333334,0.537462198514208
159,0,1,False,0.7666666666666666,0.5444444444444444,0.7111111111111111,0.5333333333333333,0.512,0.5127175368139224
160,0,3,True,0.7777777777777777,0.9111111111111111,0.8222222222222223,0.9333333333333332,0.4032050505050505,0.4117954996742875
161,0,3,False,0.7,0.8777777777777778,0.7333333333333333,0.888888888888889,0.332989898989899,0.37076402792388224
162,0,2,True,0.4666666666666667,0.6555555555555554,0.5333333333333333,0.6444444444444445,0.4499555555555556,0.4769306824862381
163,0,3,False,0.6,0.6222222222222222,0.6444444444444445,0.7111111111111111,0.606097902097902,0.5219504166662531
164,0,2,True,0.7,0.6777777777777778,0.7555555555555555,0.7777777777777777,0.3263111111111111,0.32477258915658963
166,0,0,True,0.5333333333333332,0.4666666666666667,0.5333333333333333,0.4444444444444445,0.5696952380952383,0.5679671065213237
168,0,0,True,0.4,0.42222222222222217,0.4444444444444445,0.4444444444444444,0.4527142857142857,0.45051635111876087
169,0,3,True,0.5222222222222221,0.7999999999999998,0.6222222222222221,0.8444444444444444,0.41640000000000005,0.3456337060294019
170,0,3,False,0.6666666666666666,0.711111111111111,0.6888888888888888,0.7555555555555555,0.3186222222222222,0.3545001068254667
171,0,2,True,0.5111111111111111,0.8,0.6,0.8666666666666667,0.3057777777777778,0.3326663527934716
172,0,2,True,0.7444444444444445,0.7,0.7999999999999999,0.7777777777777777,0.6523088023088024,0.6465957770305596
