PID,cond,axlab,closebound,cbside,sno,FaceLeft,t1int,t1slope,t1bound,t2int,t2slope,t2bound,bshift,alshift,Zalshift,t1dist
none_C_pass_13,none,C,NA,control,13,1,26.87049098,-0.167940565,160.0000032,7.166545591,-0.05523562,129.7450025,-30.25500076,-30.25500076,-0.409953337,NA
none_C_pass_14,none,C,NA,control,14,2,23.51167858,-0.167940565,139.9999968,441.8147367,-2.008248803,220,80.00000324,80.00000324,0.15801951,NA
none_C_pass_15,none,C,NA,control,15,1,26.87049098,-0.167940565,160.0000032,7.571491392,-0.04045877,187.1409198,27.14091658,27.14091658,-0.114281291,NA
none_C_pass_16,none,C,NA,control,16,2,7.702839676,-0.048077763,160.216266,8.194707421,-0.056533446,144.9532613,-15.26300471,-15.26300471,-0.332722859,NA
none_C_pass_18,none,C,NA,control,18,2,15.09597459,-0.091487123,165.0065511,16.2991194,-0.101868592,160.0014198,-5.005131311,-5.005131311,-0.279879964,NA
none_C_pass_19,none,C,NA,control,19,1,8.370050652,-0.055800338,150,10.59010575,-0.088276786,119.9647867,-30.03521328,-30.03521328,-0.408821113,NA
two15_C_165_11,two15,C,165,right,11,1,351.3821559,-2.066953858,170,272.1263384,-1.94375956,140,-30,-30,-0.510971997,-5
two15_C_165_110,two15,C,165,right,110,2,10.74748163,-0.067156687,160.0359123,8.579075745,-0.063587161,134.9183643,-25.11754793,-25.11754793,-0.327146371,4.9640877
two15_C_165_12,two15,C,165,right,12,2,27.45973984,-0.189377516,144.9999998,7.237973836,-0.046660391,155.1203003,10.12030048,10.12030048,0.999568041,20.0000002
two15_C_165_13,two15,C,165,right,13,1,10.76422657,-0.074240478,144.9913424,6.158378921,-0.047558314,129.4911118,-15.50023059,-15.50023059,0.034948197,20.0086576
two15_C_165_14,two15,C,165,right,14,2,29.35351506,-0.189377516,155.0000002,643.4903041,-4.151569515,154.9992844,-0.000715704,-0.000715704,0.618509076,9.9999998
two15_C_165_15,two15,C,165,right,15,1,33.14085329,-0.189376296,175.000008,11.70613097,-0.082771837,141.4264975,-33.57351048,-33.57351048,-0.645515621,-10.000008
two15_C_165_16,two15,C,165,right,16,2,559.1029953,-4.141441473,135.0020274,19.71375693,-0.123210829,160.0001974,24.99816994,24.99816994,1.559723803,29.9979726
two15_C_165_17,two15,C,165,right,17,1,31.24726177,-0.189377343,165.0000012,1.72210368,-0.010718817,160.6617241,-4.338277051,-4.338277051,0.455198732,-1.20E-06
two15_C_165_18,two15,C,165,right,18,2,35.03350835,-0.189370261,185.0000532,601.9805504,-4.151569515,145.0007156,-39.99933761,-39.99933761,-0.88744973,-20.0000532
two15_C_165_19,two15,C,165,right,19,1,21.61512276,-0.131000588,165.0001959,3.958584965,-0.027451347,144.2036692,-20.7965267,-20.7965267,-0.164458767,-0.0001959
two15_C_135_11,two15,C,135,left,11,1,11.83236449,-0.081604933,144.9957011,22.16117992,-0.12311592,180.0025524,35.00685122,-35.00685122,-0.699481283,-9.9957011
two15_C_135_110,two15,C,135,left,110,2,601.9805504,-4.151569515,145.0007156,11.27326266,-0.068300813,165.0531248,20.05240925,-20.05240925,-0.136442546,-10.0007156
two15_C_135_12,two15,C,135,left,12,2,643.4903041,-4.151569515,154.9992844,629.5552462,-4.061650959,154.9998393,0.000554899,-0.000554899,0.61851513,-19.9992844
two15_C_135_13,two15,C,135,left,13,1,15.28301111,-0.101886741,150,30.22759236,-0.167930979,180.0000964,30.00009644,-30.00009644,-0.510975628,-15
two15_C_135_14,two15,C,135,left,14,2,7.559249971,-0.048738372,155.0985323,6.114631745,-0.038082468,160.5629044,5.464372141,-5.464372141,0.412800951,-20.0985323
two15_C_135_15,two15,C,135,left,15,1,16.45687937,-0.10617313,155.0004164,6.904549727,-0.057727051,119.6068326,-35.39358382,35.39358382,1.951113914,-20.0004164
two15_C_135_16,two15,C,135,left,16,2,11.27326266,-0.068300813,165.0531248,14.26145828,-0.101868592,139.9985802,-25.05454463,25.05454463,1.561846325,-30.0531248
two15_C_135_17,two15,C,135,left,17,1,290.3978952,-2.07427068,140,12.417462,-0.067026311,185.2624996,45.26249958,-45.26249958,-1.085609185,-5
two15_C_135_18,two15,C,135,left,18,2,8.370050652,-0.055800338,150,12.72563689,-0.079529607,160.011313,10.01131298,-10.01131298,0.241607413,-15
two15_C_135_19,two15,C,135,left,19,1,17.51348975,-0.106141224,165.0017696,758.4937669,-4.100055216,184.9959883,19.99421872,-19.99421872,-0.134251657,-30.0017696
none_R_pass_11,none,R,NA,control,11,1,-15.39505964,0.10617313,144.9995836,-17.30618288,0.101798398,170.0044722,25.00488863,25.00488863,-0.125284927,NA
none_R_pass_110,none,R,NA,control,110,2,-28.54961494,0.167938894,170.000018,-758.493767,4.100055217,184.9959883,14.99597036,14.99597036,-0.176845342,NA
none_R_pass_12,none,R,NA,control,12,2,-290.3978952,2.07427068,140,-8.263606422,0.047308664,174.6742726,34.67427264,34.67427264,-0.075473604,NA
none_R_pass_13,none,R,NA,control,13,1,-6.835117395,0.050730534,134.7337957,-6.164781368,0.041098542,150,15.26620431,15.26620431,-0.175453246,NA
none_R_pass_14,none,R,NA,control,14,2,-21.61512276,0.131000588,165.0001959,-370.142293,2.056346072,180,14.99980408,14.99980408,-0.176825593,NA
none_R_pass_15,none,R,NA,control,15,1,-30.22759236,0.167930979,180.0000964,-3.624630682,0.023198814,156.2420691,-23.75802733,-23.75802733,-0.37648452,NA
none_R_pass_16,none,R,NA,control,16,2,-11.93766339,0.079584423,150,-7.237973836,0.046660391,155.1203003,5.120300331,5.120300331,-0.227719336,NA
none_R_pass_17,none,R,NA,control,17,1,-29.35351506,0.189377516,155.0000002,-15.39505964,0.10617313,144.9995836,-10.00041657,-10.00041657,-0.305612913,NA
none_R_pass_18,none,R,NA,control,18,2,-15.06043467,0.088583587,170.0138274,-11.37092765,0.066851957,170.0911709,0.077343483,0.077343483,-0.253697863,NA
none_R_pass_19,none,R,NA,control,19,1,-15.09597459,0.091487123,165.0065511,-830.5001102,4.051358275,204.9930058,39.98645463,39.98645463,-0.048108178,NA
two15_R_165_11,two15,R,165,right,11,1,-28.54961494,0.167938894,170.000018,-9.627885209,0.087597654,109.9103085,-60.08970941,-60.08970941,-1.643857599,-5.000018
two15_R_165_110,two15,R,165,right,110,2,-8.784493561,0.05003812,175.5560276,-8.384042787,0.050730534,165.2662043,-10.28982331,-10.28982331,0.231121424,-10.5560276
two15_R_165_12,two15,R,165,right,12,2,-27.45973984,0.189377516,144.9999998,-5.004918015,0.038838044,128.8663777,-16.13362216,-16.13362216,0.011100835,20.0000002
two15_R_165_13,two15,R,165,right,13,1,-13.52112356,0.073020988,185.1676348,-12.19260209,0.101615809,119.9872558,-65.18037896,-65.18037896,-1.835522668,-20.1676348
two15_R_165_14,two15,R,165,right,14,2,-26.87049098,0.167940565,160.0000032,-427.9322752,4.075346828,105.0051182,-54.99488506,-54.99488506,-1.4520361,4.9999968
two15_R_165_15,two15,R,165,right,15,1,-31.24726177,0.189377343,165.0000012,-683.3294465,4.141441473,164.9979726,-0.002028623,-0.002028623,0.618459644,-1.20E-06
two15_R_165_16,two15,R,165,right,16,2,-13.52112356,0.073020988,185.1676348,-268.7040016,2.066953858,130,-55.16763481,-55.16763481,-1.458540174,-20.1676348
two15_R_165_17,two15,R,165,right,17,1,-21.61512276,0.131000588,165.0001959,-5.091900321,0.071473393,71.24190018,-93.75829574,-93.75829574,-2.911488874,-0.0001959
two15_R_165_18,two15,R,165,right,18,2,-14.19460574,0.088713617,160.004813,-10.904086,0.072693907,150,-10.00481301,-10.00481301,0.241852138,4.995187
two15_R_165_19,two15,R,165,right,19,1,-29.35351506,0.189377516,155.0000002,-16.2991194,0.101868592,160.0014198,5.001419675,5.001419675,0.80684081,9.9999998
two15_R_135_11,two15,R,135,left,11,1,-21.61512276,0.131000588,165.0001959,-13.82469978,0.072580023,190.4752741,25.47507817,-25.47507817,-0.34060748,-30.0001959
two15_R_135_110,two15,R,135,left,110,2,-13.48981412,0.079337524,170.0306927,-758.493767,4.100055217,184.9959883,14.96529561,-14.96529561,0.055088642,-35.0306927
two15_R_135_12,two15,R,135,left,12,2,-12.72563689,0.079529607,160.011313,-15.28301111,0.101886741,150,-10.01131298,10.01131298,0.995464632,-25.011313
two15_R_135_13,two15,R,135,left,13,1,-4.466548316,0.029776989,150,-11.15204344,0.064484487,172.9414915,22.94149151,-22.94149151,-0.245217265,-15
two15_R_135_14,two15,R,135,left,14,2,-5.310108795,0.038082468,139.4370956,-27.45973984,0.189377516,144.9999998,5.562904284,-5.562904284,0.409091189,-4.4370956
two15_R_135_15,two15,R,135,left,15,1,-17.30618288,0.101798398,170.0044722,-5.541024142,0.034458887,160.8010174,-9.203454837,9.203454837,0.965048557,-35.0044722
two15_R_135_16,two15,R,135,left,16,2,-3.188054133,0.021253694,150,-4.399062044,0.026216964,167.7944849,17.79448491,-17.79448491,-0.051431091,-15
two15_R_135_17,two15,R,135,left,17,1,-6.331151154,0.039448062,160.49334,-11.62084952,0.072620528,160.0215499,-0.47179011,0.47179011,0.636299046,-25.49334
two15_R_135_18,two15,R,135,left,18,2,-721.5460447,4.123193088,174.9969088,-35.03350835,0.189370261,185.0000532,10.00314438,-10.00314438,0.241914962,-39.9969088
two15_R_135_19,two15,R,135,left,19,1,-16.65141107,0.087597654,190.0896915,-20.94200789,0.123187749,170.0007357,-20.08895577,20.08895577,1.374890577,-55.0896915
none_C_act_1,none,C,NA,control,1,1,11.37092765,-0.066851957,170.0911709,17.55206639,-0.089955079,195.1203492,25.02917828,25.02917828,0.906110666,NA
none_C_act_10,none,C,NA,control,10,2,643.4903041,-4.151569515,154.9992844,351.3821559,-2.066953858,170,15.00071555,15.00071555,0.537988614,NA
none_C_act_2,none,C,NA,control,2,2,6.945626295,-0.044768805,155.1443308,3.603996749,-0.037985245,94.87885905,-60.26547173,-60.26547173,-2.224861891,NA
none_C_act_3,none,C,NA,control,3,1,26.87049098,-0.167940565,160.0000032,7.166545591,-0.05523562,129.7450025,-30.25500076,-30.25500076,-1.123245775,NA
none_C_act_4,none,C,NA,control,4,2,23.51167858,-0.167940565,139.9999968,441.8147367,-2.008248803,220,80.00000324,80.00000324,2.923964591,NA
none_C_act_5,none,C,NA,control,5,1,26.87049098,-0.167940565,160.0000032,7.571491392,-0.04045877,187.1409198,27.14091658,27.14091658,0.983627775,NA
