RSVP_1_upr,RSVP_2_upr,RSVP_3_upr,RSVP_1_inv,RSVP_2_inv,RSVP_3_inv,BM_1_upr,BM_2_upr,BM_3_upr,BM_1_inv,BM_2_inv,BM_3_inv,CFS_1_upr,CFS_2_upr,CFS_3_upr,CFS_1_inv,CFS_2_inv,CFS_3_inv
0.8125,0.903225806,0.953125,0.65625,0.777777778,0.836065574,0.90625,0.953125,0.984375,0.828125,0.96875,0.96875,0.921875,0.859375,0.890625,0.859375,0.953125,0.890625
0.507936508,0.475409836,0.516129032,0.492063492,0.483870968,0.557377049,0.5625,0.84375,0.9375,0.515625,0.765625,0.84375,0.484375,0.578125,0.578125,0.515625,0.46875,0.5625
0.950819672,0.888888889,0.921875,0.650793651,0.833333333,0.682539683,0.796875,0.984375,0.984375,0.671875,0.9375,0.953125,0.734375,0.78125,0.765625,0.6875,0.84375,0.84375
0.725806452,0.84375,0.828125,0.5,0.516129032,0.532258065,0.5,0.515625,0.671875,0.484375,0.53125,0.5625,0.796875,0.875,0.96875,0.640625,0.859375,0.90625
0.459016393,0.517241379,0.770491803,0.46875,0.590163934,0.80952381,0.484375,0.65625,0.9375,0.59375,0.515625,0.671875,0.625,0.671875,0.796875,0.53125,0.640625,0.671875
0.612903226,0.603448276,0.62962963,0.428571429,0.620689655,0.534482759,0.546875,0.734375,0.859375,0.5625,0.625,0.78125,0.625,0.84375,0.984375,0.625,0.640625,0.859375
0.68852459,0.672413793,0.827586207,0.73015873,0.619047619,0.532258065,0.90625,0.90625,1,0.78125,0.90625,1,0.59375,0.8125,0.75,0.53125,0.703125,0.640625
0.640625,0.65625,0.953125,0.650793651,0.65625,0.919354839,0.78125,0.90625,0.984375,0.75,0.859375,0.9375,0.734375,0.859375,0.90625,0.703125,0.890625,0.625
0.847457627,0.763636364,0.684210526,0.685185185,0.740740741,0.508474576,0.890625,0.96875,1,0.6875,0.9375,0.9375,0.578125,0.75,0.703125,0.546875,0.609375,0.578125
0.913793103,0.916666667,0.793103448,0.754716981,0.824561404,0.803571429,0.5625,0.703125,0.890625,0.484375,0.734375,0.875,0.734375,0.828125,0.765625,0.734375,0.859375,0.890625
0.919354839,0.904761905,0.983870968,0.677419355,0.859375,0.793650794,0.71875,0.890625,1,0.640625,0.828125,0.953125,0.765625,0.875,0.96875,0.6875,0.84375,0.875
0.936507937,0.936507937,0.84375,0.777777778,0.761904762,0.777777778,0.796875,0.984375,1,0.59375,0.703125,1,0.609375,0.75,0.9375,0.5625,0.734375,0.78125
0.96875,0.968253968,0.968253968,0.919354839,0.93442623,0.8125,0.625,0.703125,0.96875,0.5625,0.6875,0.828125,0.875,0.953125,0.96875,0.71875,0.765625,0.890625
0.888888889,0.84375,0.96875,0.603174603,0.734375,0.75,0.703125,0.875,0.984375,0.515625,0.65625,0.96875,0.625,0.75,0.921875,0.4375,0.5,0.59375
0.885245902,0.933333333,0.904761905,0.631578947,0.766666667,0.672131148,0.65625,0.796875,0.921875,0.578125,0.59375,0.734375,0.46875,0.484375,0.640625,0.609375,0.578125,0.5625
0.952380952,0.968253968,0.984126984,0.857142857,0.950819672,0.950819672,0.6875,0.890625,0.984375,0.578125,0.546875,0.921875,0.546875,0.609375,0.46875,0.546875,0.484375,0.53125
0.859649123,0.928571429,0.949152542,0.806451613,0.754098361,0.896551724,0.890625,0.984375,1,0.671875,0.78125,0.9375,0.640625,0.53125,0.75,0.453125,0.4375,0.5625
0.822580645,0.859375,0.919354839,0.725806452,0.634920635,0.790322581,0.734375,0.8125,1,0.703125,0.578125,0.859375,0.78125,0.765625,0.8125,0.59375,0.703125,0.78125
0.761904762,0.758064516,0.46031746,0.629032258,0.573770492,0.5,0.984375,0.96875,0.984375,0.78125,0.921875,0.96875,0.578125,0.6875,0.625,0.5625,0.515625,0.5
