PrevGroup,Subject,PrevCode,Match_25,Match_50,Match_75,Mismatch_25,Mismatch_50,Mismatch_75,
High,37,2,2.092105263,3.243902439,2.617283951,2.416666667,3.25,2.461538462,2.680249464
High,40,2,1.960526316,2.4125,2.455696203,2.133333333,4.153846154,4.4,2.919317001
High,43,2,1.959459459,2.857142857,3.863013699,3.416666667,7.416666667,6.166666667,4.279936003
High,46,2,1.432835821,2.449275362,2.698630137,1.785714286,3.214285714,4.866666667,2.741234664
High,49,2,2.066666667,2.597402597,3.183098592,3.642857143,6,2.5,3.331670833
High,52,2,2.892857143,3.321428571,3.37804878,4.666666667,4,2.846153846,3.517525835
High,58,2,1.470588235,2,2.174603175,2.181818182,3.5,3.5,2.471168265
High,67,2,3.226190476,4.341176471,4.211764706,4.615384615,4.933333333,3.307692308,4.105923652
High,70,2,3.802469136,3.576470588,4.289156627,4.846153846,5,4.846153846,4.393400674
High,76,2,1.831325301,2.529411765,3.105882353,4.230769231,3.266666667,3.714285714,3.113056838
High,79,2,2.795180723,4.392857143,4.493975904,5.428571429,7.666666667,3.785714286,4.760494358
High,91,2,1.615384615,1.947368421,1.824324324,1.928571429,4.363636364,4.75,2.738214192
High,94,2,2.457831325,2.976190476,3.726190476,4.4,4.642857143,3.714285714,3.652892522
High,100,2,2.717647059,3.4,3.623529412,5.2,4.8,3.6,3.890196078
High,103,2,2.717948718,3.707317073,4.084337349,3.25,5.923076923,2.818181818,3.750143647
High,106,2,1.75,2.072289157,2.771084337,2.642857143,3.615384615,3.833333333,2.780824764
High,109,2,3,4.219512195,3.631578947,4.214285714,4.454545455,3.4,3.819987052
High,112,2,2.865853659,3.880952381,3.097560976,3,4.533333333,2.428571429,3.301045296
Low,6,3,1.846153846,2.071428571,2.615384615,2.833333333,2.888888889,2.698795181,2.492330739
Low,9,3,2.083333333,4.076923077,2.75,3.2,3.358974359,2.592592593,3.010303894
Low,21,3,3.111111111,4.8,2,2.589041096,3.303030303,2.25,3.008863752
Low,24,3,2,1.857142857,4.285714286,2.5625,3.107692308,3.208955224,2.837000779
Low,27,3,2.428571429,2.642857143,2.153846154,2.146341463,1.915662651,1.952380952,2.206609965
Low,33,3,2.166666667,3.666666667,2.571428571,2.892857143,3.404761905,2.831325301,2.922284376
Low,42,3,1.533333333,2.142857143,3.153846154,1.670886076,2.463414634,3.231707317,2.366007443
Low,45,3,3.25,3.25,3.461538462,3.52173913,3.197530864,2.788732394,3.244923475
Low,48,3,2.333333333,2.416666667,2,2.575757576,3.045454545,2.457627119,2.471473207
Low,51,3,2.266666667,2.4,3.133333333,3.247058824,3.152941176,2.717647059,2.819607843
Low,54,3,2.933333333,4,3.769230769,4.083333333,3.858823529,3.235294118,3.64666918
Low,66,3,2.428571429,5.5,6.333333333,5.797619048,4.488095238,4.05952381,4.767857143
Low,69,3,2.076923077,2.642857143,2.307692308,3.317073171,3.692307692,3.428571429,2.910904137
Low,75,3,4.266666667,4.846153846,5,4.710843373,4.256097561,3.482352941,4.427019065
Low,78,3,1.25,2.6,2.714285714,2.236363636,2.333333333,2.452830189,2.264468812
Low,84,3,2.357142857,2.142857143,2,2.738095238,2.855421687,2.130952381,2.370744884
Low,87,3,2.833333333,4.266666667,3.416666667,4.011904762,3.963414634,4.160493827,3.775413315
Low,90,3,2.272727273,3.636363636,4.545454545,2.4875,4.414634146,5.590361446,3.824506841
Low,93,3,2.5,4.307692308,3.75,3.301204819,4.682926829,2.74025974,3.547013949
Low,96,3,3.133333333,4.307692308,3.846153846,4.235294118,3.694117647,2.752941176,3.661588738
Low,102,3,3.571428571,3.714285714,3.066666667,3.917647059,3.894117647,3.411764706,3.595985061
Low,105,3,2.111111111,2.111111111,1.818181818,2.914634146,3.423076923,2.705128205,2.513873886
Low,111,3,4.333333333,2.733333333,3.928571429,3.3875,3.086419753,2.725,3.365692975
