Det-Upr1,Det-Upr2,Det-Upr3,Det-Upr4,Det-Upr5,Det-Inv1,Det-Inv2,Det-Inv3,Det-Inv4,Det-Inv5,Loc-Upr1,Loc-Upr2,Loc-Upr3,Loc-Upr4,Loc-Upr5,Loc-Inv1,Loc-Inv2,Loc-Inv3,Loc-Inv4,Loc-Inv5,Discr-1,Discr-2,Discr-3,Discr-4,Discr-5
0.259713756,0,1.647906536,3.42105093,3.843118465,0,0,0,0.720469192,3.610473718,-0.578000718,0,0.788484641,2.419048311,3.111850487,0.227184221,0,-0.429349413,0.692802175,2.533849769,-0.321287007,-0.321287007,1.052871705,2.560640384,2.827755752
0.468746185,0.902867653,1.161302025,1.94209279,2.545907719,0.285904756,0.607191763,0.096947262,1.449448249,2.089465765,-0.310280675,0.198070024,0.968822684,0.836491631,1.454860802,-0.053200509,0,-0.102574341,0.708057429,1.161006626,-0.196047956,0.408422547,-0.087466159,0.482522627,1.690369783
-0.259713756,0.728459941,2.029397038,3.610473718,4.114916406,-0.259713756,0,0.259713756,1.951636278,3.297499952,-0.04927468,0.450926636,1.376707932,3.111850487,3.111850487,0.04951542,0.758062674,0.40016503,2.121200654,3.111850487,0.50041222,-0.140743474,0.315848567,0.294292944,1.806030988
0.16214901,-0.155691469,0.29545679,1.354165472,1.810096147,-0.336019672,-0.326037239,0.216187391,0.37187886,1.451089918,-0.350159785,0.102574341,0.348352296,1.472390397,2.682501074,-0.399113903,0.099520665,0.350159785,0.21076001,2.480335882,-0.343292151,-0.349185747,0.601789407,0.843565006,1.180273484
0.085451198,0.50789391,1.015326782,3.49795351,4.191788734,0.297669219,0.113277429,0.532833255,2.482626728,3.114658523,0,0.050005245,1.149998725,3.111850487,2.909685295,0.102574341,-0.04927468,0.776363547,1.989698898,3.111850487,0.101032125,-0.364727644,-0.238571081,0.302358636,2.028463672
0,0.86690552,2.355490882,4.660534919,4.660534919,0,0.545618513,1.239483989,2.519049945,4.660534919,0.04951542,0.40016503,0.78150647,3.111850487,2.909685295,0.099520665,0.248831631,0.450926636,1.735843159,3.111850487,0.105794939,-0.104888982,0.385873946,2.224620712,4.660534919
0.259713756,0.468746185,1.435531945,2.357928492,4.114916406,0.728459941,0,0.728459941,1.523533898,3.932074977,0.050005245,0.721378386,2.104500356,3.111850487,3.111850487,-0.050761607,0.668177877,1.017667672,2.121200654,2.909685295,-0.175253876,0.040034224,0,1.343231757,3.82901165
-0.182841429,0.707072004,1.375307933,4.191788734,4.191788734,-0.182841429,0,0,2.162391695,3.932074977,0,0.04927468,0.866230702,2.909685295,3.111850487,0.21076001,-0.205780094,0.050761607,1.451510952,3.111850487,-0.178929065,0.070718095,0.302358636,2.014396021,3.68035197
-0.607191763,-0.251723007,0.817416454,2.952304745,3.82901165,0,-0.113277429,1.050061201,1.836297852,3.297499952,-0.050761607,-0.04951542,0.40016503,2.21688312,2.909685295,-0.098549359,0.458345454,0.348352296,1.086203605,2.682501074,0.24739483,0.317037464,0.280984964,0.764709674,2.882013776
0.259713756,0.607191763,1.918194434,3.793629399,4.191788734,0.259713756,0.607191763,1.338776461,2.060700282,4.053343156,-0.260765255,0.251369685,0.913837523,2.682501074,3.111850487,0,0.55999265,0.957539588,1.376707932,3.111850487,-0.223089237,-0.428326104,0.353460681,1.015326782,2.777484318
-0.50789391,-0.232644747,0.751387465,2.305965257,3.545449246,0.060732516,-0.147193548,0.135315441,1.015639988,2.999830733,-0.150282272,-0.198070024,0.721378386,2.25315166,2.909685295,-0.348352296,0.408830034,-0.105013243,0.458345454,2.909685295,0.06968492,0.139369841,-0.42327282,0.495200717,2.630290769
0.415572561,0.297669219,-0.065024472,1.549626309,2.454852938,0.085451198,0.232644747,-0.297669219,0.715231715,2.062471702,-0.277379325,0.098549359,-0.15577485,1.63056367,2.909685295,-0.40016503,-0.105013243,0,0.935440035,1.955849051,0.140743474,-0.139454773,-0.280984964,0.543908113,1.775824941
0.18714437,-0.040034224,0.843565006,1.824839131,2.023946117,0.313111837,0.262324412,0.594610563,1.105217049,2.162391695,-0.290504326,0.060128084,0.714327724,2.239995593,3.111850487,-0.304697135,-0.06379512,0.267262158,1.661994875,2.682501074,-0.266306136,-0.229882919,0.364619428,0.916851257,2.312086871
0,1.521675011,2.669663465,3.646170221,3.68035197,0.251723007,1.149796151,1.651888299,2.269996243,3.940065727,0.202095005,1.368140699,2.682501074,2.682501074,3.111850487,0.198070024,1.308171998,1.841047594,2.533849769,3.111850487,0.283818047,0.420856788,0.349185747,2.235674288,4.191788734
0.285904756,0.817416454,1.731157697,3.029207325,4.660534919,0.468746185,0,0,1.627030941,3.932074977,0.197580199,0.248831631,0.767440602,2.682501074,3.111850487,0.300644365,-0.148795345,0.152579585,1.222678423,2.707520103,0.069812138,-0.320669101,0.279593396,1.105217049,3.463328792
0.431481328,0.904712115,1.308323851,2.504533782,2.210792855,0.385639707,0.666141034,0.614234597,1.699082143,2.506468745,0.100766852,0.792101081,1.587191855,2.707520103,2.909685295,0.100766852,0.298347051,0.900286751,2.104500356,2.909685295,-0.071787753,0.385873946,0.495200717,1.886998726,3.507724643
0.259713756,0.259713756,1.435531945,3.00864662,4.374630163,0.545618513,0,1.162581409,2.029397038,3.427545904,-0.205780094,0.484513398,0.63479567,2.331684577,3.111850487,-0.159998403,-0.051812734,0.391936051,1.587191855,2.25315166,0.143679424,-0.285805498,0.212531227,1.263945548,3.212048754
-0.259713756,0,0,1.481542528,3.583404708,-0.259713756,0.259713756,-0.182841429,1.115085673,1.918194434,0,0.202165192,0.227184221,1.078988967,2.419048311,0.148651305,0.202165192,0,0.946657914,0.93695186,0,0,0,-0.259713756,1.162581409
