subjID,trialNum,uniqueID,trialType,numInSequence,numCorrect,ITI,Total Trial Duration,Volume,Correct Sequence,Response Sequence,Accuracy
100,2,13,random,7,7,1.5,18.963093,0.05,"['Circle', 'Diamond', 'Pentagon', 'Circle', 'Circle', 'Circle', 'Diamond']","['Circle', 'Diamond', 'Pentagon', 'Circle', 'Circle', 'Circle', 'Diamond']",1
100,3,17,random,7,5,1.5,20.4887528,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle', 'Pentagon', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Circle']",0.714285714
100,4,10,random,6,6,1.5,16.1430009,0.05,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle', 'Pentagon']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle', 'Pentagon']",1
100,5,16,random,7,7,1.5,19.3800015,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond', 'Circle', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond', 'Circle', 'Pentagon']",1
100,6,7,random,6,6,1.5,16.5297685,0.05,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Circle']",1
100,7,1,random,5,4,1.5,15.5837353,0.05,"['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Diamond']",0.8
100,8,8,random,6,3,1.5,16.7658125,0.05,"['Pentagon', 'Diamond', 'Circle', 'Circle', 'Pentagon', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle', 'Pentagon']",0.5
100,9,15,random,7,7,1.5,19.4198274,0.05,"['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Diamond', 'Diamond', 'Diamond']","['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Diamond', 'Diamond', 'Diamond']",1
100,10,3,random,5,5,1.5,14.8333054,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond']",1
100,11,18,random,7,5,1.5,21.1026042,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon', 'Diamond', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Circle', 'Diamond', 'Circle']",0.714285714
100,12,9,random,6,6,1.5,16.8048417,0.05,"['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Diamond']",1
100,13,11,random,6,5,1.5,16.034807,0.05,"['Circle', 'Pentagon', 'Diamond', 'Circle', 'Circle', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon']",0.833333333
100,14,6,random,5,5,1.5,14.6725366,0.05,"['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon']","['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon']",1
100,15,2,random,5,5,1.5,15.2308227,0.05,"['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Diamond']","['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Diamond']",1
100,16,5,random,5,5,1.5,14.4840608,0.05,"['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond']","['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond']",1
100,17,4,random,5,5,1.5,14.9793448,0.05,"['Circle', 'Pentagon', 'Diamond', 'Circle', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Circle', 'Pentagon']",1
100,18,12,random,6,6,1.5,15.7852056,0.05,"['Pentagon', 'Diamond', 'Circle', 'Circle', 'Diamond', 'Diamond']","['Pentagon', 'Diamond', 'Circle', 'Circle', 'Diamond', 'Diamond']",1
101,1,9,space,6,5,1.5,20.1369892,0.05,"['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Circle', 'Diamond']","['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Circle', 'Pentagon']",0.833333333
101,2,15,space,7,4,1.5,22.5979602,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond', 'Diamond', 'Pentagon']","['Pentagon', 'Circle', 'Pentagon', 'Diamond', 'Diamond', 'Circle', 'Pentagon']",0.571428571
101,3,8,space,6,6,1.5,18.4907347,0.05,"['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond', 'Circle']","['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond', 'Circle']",1
101,4,1,space,5,5,1.5,17.6324467,0.05,"['Diamond', 'Circle', 'Pentagon', 'Circle', 'Pentagon']","['Diamond', 'Circle', 'Pentagon', 'Circle', 'Pentagon']",1
101,5,13,space,7,4,1.5,21.5341011,0.05,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Circle', 'Circle']","['Pentagon', 'Diamond', 'Pentagon', 'Pentagon', 'Circle', 'Circle', 'Pentagon']",0.571428571
101,6,16,space,7,6,1.5,22.37136,0.05,"['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Pentagon', 'Pentagon', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon']",0.857142857
101,7,2,space,5,5,1.5,16.5767578,0.05,"['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Pentagon']",1
101,8,4,space,5,5,1.5,17.2531387,0.05,"['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Pentagon']","['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Pentagon']",1
101,9,6,space,5,5,1.5,18.0118481,0.05,"['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon']","['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon']",1
101,10,14,space,7,4,1.5,25.5774514,0.05,"['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle', 'Pentagon']","['Diamond', 'Pentagon', 'Circle', 'Circle', 'Diamond', 'Pentagon', 'Pentagon']",0.571428571
101,11,11,space,6,6,1.5,18.2862061,0.05,"['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Circle', 'Pentagon']","['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Circle', 'Pentagon']",1
101,12,5,space,5,5,1.5,22.0119431,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond']",1
101,13,7,space,6,4,1.5,22.1612571,0.05,"['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Circle', 'Diamond']","['Diamond', 'Circle', 'Diamond', 'Diamond', 'Circle', 'Pentagon']",0.666666667
101,14,3,space,5,5,1.5,19.2865651,0.05,"['Circle', 'Pentagon', 'Diamond', 'Circle', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Circle', 'Pentagon']",1
101,15,10,space,6,4,1.5,18.9487049,0.05,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Pentagon']",0.666666667
101,16,18,space,7,5,1.5,24.6657363,0.05,"['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Circle', 'Diamond', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Circle', 'Pentagon', 'Diamond']",0.714285714
101,17,17,space,7,7,1.5,21.3905865,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle', 'Circle', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle', 'Circle', 'Circle']",1
101,18,12,space,6,6,1.5,23.2919815,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond', 'Pentagon']",1
101,1,2,random,5,5,1.5,17.9680669,0.05,"['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Diamond']","['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Diamond']",1
