IDs,age,ageDifference,gender,genderDifference,fullLiking_1,fullLiking_2,fullLiking_3,fullLiking_4,fullLiking_5,liking,similarity,positionFirst,positionSecond,distance,orientationFirst,orientationSecond,extremityFirst,extremitySecond,deltaExtremity,consistencyFirst,consistencySecond,certaintyFirst,certaintySecond,deltaCertainty
13,46,-11,1,0,5,4,5,5,5,5,2,1,4,3,1,1,1,4,-3,1,4,5,4,1
12,22,11,1,1,5,5,5,5,4,5,3,3,3,0,1,1,3,3,0,3,3,5,5,0
1,24,19,1,1,5,5,5,5,3,5,2,0,4,4,0,1,0,4,-4,0,0,4,4,0
10,54,-12,1,1,5,4,4,5,4,4,4,3,1,2,1,1,3,1,2,3,1,5,5,0
11,56,-6,1,1,5,5,5,5,4,5,3,1,-3,4,1,-1,1,3,-2,-1,-3,5,5,0
11,50,6,1,1,5,5,5,4,4,5,3,-3,1,4,-1,1,3,1,2,-3,-1,5,5,0
28,28,15,0,0,4,4,4,5,3,4,4,3,5,2,1,1,3,5,-2,3,5,5,5,0
29,48,-28,1,1,5,4,4,5,4,4,2,-1,5,6,-1,1,1,5,-4,-1,-5,5,5,0
34,32,7,0,0,4,4,4,4,4,4,2,1,-1,2,1,-1,1,1,0,-1,-1,5,3,2
35,50,NaN,1,NaN,4,4,4,4,3,4,4,2,1,1,1,1,2,1,1,2,1,4,5,-1
333,19,27,0,0,4,3,3,5,3,3,3,1,4,3,1,1,1,4,-3,1,4,5,4,1
339,50,-8,1,1,4,3,3,5,1,3,3,1,-3,4,1,-1,1,3,-2,-1,-3,5,5,0
339,42,8,1,1,5,5,5,5,3,5,3,1,-3,4,1,-1,1,3,-2,-1,-3,5,5,0
341,44,7,0,0,5,5,5,5,4,5,4,-1,1,2,-1,1,1,1,0,-1,-1,5,5,0
335,47,-26,1,1,5,5,5,5,5,5,2,3,2,1,1,1,3,2,1,3,2,5,4,1
333,46,-27,1,0,5,5,5,5,3,5,5,3,3,0,1,1,3,3,0,3,3,5,5,0
340,51,-6,0,0,5,5,5,5,5,5,5,-1,-1,0,-1,-1,1,1,0,1,1,5,5,0
51,42,-1,1,1,5,5,5,5,5,5,1,1,1,0,1,1,1,1,0,1,1,5,5,0
364,48,1,1,0,4,4,4,4,2,4,2,3,2,1,1,1,3,2,1,3,2,3,4,-1
20,26,-3,0,0,5,4,4,5,4,4,1,1,2,1,1,1,1,2,-1,1,2,3,4,-1
44,34,19,1,1,5,4,4,3,4,4,4,3,1,2,1,1,3,1,2,3,1,5,5,0
443,49,-20,0,0,4,4,4,4,4,4,3,-1,-1,0,-1,-1,1,1,0,1,1,5,5,0
44,53,-19,1,1,5,5,5,5,4,5,4,1,3,2,1,1,1,3,-2,1,3,5,5,0
360,49,-20,1,1,4,5,5,5,5,5,2,0,1,1,0,1,0,1,-1,0,0,4,3,1
150,42,-14,1,1,5,5,5,5,5,5,1,-3,4,7,-1,1,3,4,-1,-3,-4,5,4,1
148,41,NaN,0,NaN,4,3,4,4,3,4,4,3,1,2,1,1,3,1,2,3,1,5,5,0
149,33,16,1,1,5,4,4,3,2,4,3,0,3,3,0,1,0,3,-3,0,0,4,5,-1
150,28,14,1,1,5,5,5,5,5,5,1,4,-3,7,1,-1,4,3,1,-4,-3,4,5,-1
153,16,18,1,1,5,5,5,5,5,5,3,2,4,2,1,1,2,4,-2,2,4,4,4,0
152,17,21,1,0,5,5,5,5,5,5,2,3,3,0,1,1,3,3,0,3,3,3,5,-2
154,41,-27,1,1,4,3,3,5,4,3,1,-3,3,6,-1,1,3,3,0,-3,-3,5,3,2
110,33,-28,1,1,5,5,5,5,4,5,4,3,5,2,1,1,3,5,-2,3,5,5,5,0
107,27,30,1,0,4,2,2,4,1,2,1,-3,2,5,-1,1,3,2,1,-3,-2,5,4,1
203,24,NaN,1,NaN,5,5,5,5,4,5,2,-4,1,5,-1,1,4,1,3,-4,-1,4,5,-1
206,41,2,1,0,5,4,4,4,3,4,3,3,-1,4,1,-1,3,1,2,-3,-1,5,5,0
201,45,8,0,0,5,4,4,4,4,4,0,3,-3,6,1,-1,3,3,0,-3,-3,5,5,0
212,27,0,1,1,4,4,4,4,4,4,3,0,1,1,0,1,0,1,-1,0,0,4,3,1
213,34,NaN,0,NaN,4,4,4,5,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0
124,41,21,1,1,5,5,5,5,5,5,3,2,5,3,1,1,2,5,-3,2,5,4,5,-1
172,41,-8,1,1,5,5,5,5,5,5,3,1,5,4,1,1,1,5,-4,1,5,5,5,0
172,33,8,1,1,5,5,5,5,3,5,5,3,3,0,1,1,3,3,0,3,3,5,5,0
173,41,8,1,0,5,4,4,5,4,4,2,3,1,2,1,1,3,1,2,3,1,5,5,0
349,28,6,1,1,5,4,4,4,4,4,3,2,1,1,1,1,2,1,1,2,1,4,3,1
336,37,8,1,0,5,5,5,5,3,5,3,1,5,4,1,1,1,5,-4,1,5,5,5,0
