caseid,weight,sample,int_date,lang,cregion,state,usr,density,form,q1,q2a,q2b,q2c,q2e,q2f,q2gf1,q2hf2,q3,q4,q5a,q5b,q5c,q6,conf.external,conf.internal,q9f1,q9f1_code1,q9f1_code2,q9f1_code3,q12a,q12b,q13,evol1,evol2,evol.science3,q20f1,q21af2,q21bf2,q21cf2,global.warm.science,q24a,q24b,q24c,q24d,q24e,q24f,q25,q27,q28,q29,q30,big.bang.science,q33,q34,q35,q37,q38,gmo.science,q40,q41,knosct14,knosct15,knosct16,knosct17,knosct18,knosct19,knowledge.sum,sexz,agerec,educ2,scideg,hisp,racecmb,race3m1,race3m2,race3m3,race3m4,racethn,birth_hisp,usborn,marital,parent,citizen,relig,chr,born,attend,income,reg,party,partyln,ideo,hh1,hh3,eminuse,intmob,ql1,ql1a,qc1,believ,believ2,filter_$,agreement.science.MEAN,COO_1,COO_2,agreement.science.2MEAN,COO_3,COO_4,religion.2cat
206525,3.07142857142857,2,82014,1,3,45,R,1,1,1,3,2,3,3,3,3, ,2,1,1,1,1,1,2,2, , , , ,1,1,2,1,1,2,1, , , ,2,2,2,2,1,1,1,2,1,2,1,1,2,2,2,1,4,2,2,1,3,2,2,1,3,2,8,4,2,66,3, ,2,1,1, , , ,1, ,1,4,2, ,1, ,2,4,3,1,3,2,3,1, ,1,2, , ,2,1,1,1,2,.000797688027682373,.000937768270038078,2,.000674585032878392,.000632039194012281,1
206539,2.14285714285714,2,82014,1,3,48,S,5,1,1,2,3,2,4,1,2, ,1,1,1,1,1,1,1,2, , , , ,1,1,1,1,1,1,2, , , ,1,1,1,2,1,9,1,2,1,2,1,1,1,1,1,1,4,1,2,1,1,1,2,1,3,2,1,6,2,64,8,1,2,1,1, , , ,1, ,1,3,2, ,1, ,2,5,3,1,2, ,5,1, ,1,1, , ,2,1,1,1,1.25,.000166324912287771,.000201344290740205,1,.000295362176224178,.000312293893680426,1
206611,2.92857142857143,2,82014,1,3,48,U,2,2,1,2,1,2,3,2, ,2,2,1,1,1,1,2,1,2, , , , ,1,1,1,1,2,1, ,1,1, ,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,3,1,2,2,3,1,1,1,3,2,1,5,1,67,5, ,2,1,1, , , ,1, ,1,1,2, ,1, ,2,4,6,1,3,2,2,2,2,1,2, , ,1,1,1,1,1.33333333333333,.000100520897351578,.000124462707075192,1,.000424019784892246,.000364654528316541,1
206613,4.14285714285714,2,82514,1,3,12,S,4,2,1,2,2,3,3,3, ,4,3,1,2,1,1,2,1,1, , , , ,1,1,2,2, ,2, ,1,1, ,1,2,2,2,1,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,3,1,1,1,2,2,1,4,2,32,8,2,2,2,2, , , ,2, ,1,6,1, ,1, ,2,3,8,1,2, ,3,2,1,1,1, , ,2,1,1,1,1.5,9.0689811602092E-005,.000123317700798834,1.5,.000175827887446886,.000129550416236267,1
206640,5.21428571428571,2,82014,1,3,13,R,1,1,2,3,2,4,4,2,4, ,1,1,2,1,1,2,1,2, , , , ,1,1,1,1,2,1,1, , , ,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,4,2,2,1,3,1,2,3,2,2,1,4,2,32,3, ,2,2,2, , , ,2, ,1,6,2, ,1, ,2,3,2,1,2, ,2,3,3,1,1, , ,1,1,1,1,1.75,.000362731986840976,.000428606462931344,1.5,1.8894402841037E-005,9.26377746946818E-006,1
206679,6.64285714285714,2,82014,1,1,42,S,3,2,1,2,1,1,2,1, ,2,1,1,1,1,1,2,1,2, , , , ,1,1,2,1,1,1, ,2, ,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,2,3,1,2,2,1,1,2,1,3,2,1,6,1,49,3, ,2,1,1, , , ,1, ,1,1,1, ,1, ,2,5,8,1,3,1,5,4,3,1,1, , ,1,1,1,1,1.25,.000234970064843532,.000303254115814149,1,.000519746616654774,.00056437413682414,1
206712,10.5714285714286,2,82014,1,2,29,U,4,2,2,3,1,4,3,4, ,4,4,1,1,9,1,1,2,1, , , , ,2,2,2,2, ,1, ,2, ,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,1,4,1,2,1,1,1,2,8,2,2,9,3,2,51,4, ,2,1,1, , , ,1, ,1,1,2, ,1, ,1,3,6,1,3,1,2,4,3,1,1, , ,1,1,1,1,1.75,.000156864544074511,.000187408608248472,1.5,2.6112380825223E-005,5.66151332332144E-006,1
206779,1.64285714285714,2,82114,2,1,36,U,5,2,2,1,1,9,1,1, ,1,4,1,1,1,1,1,2,1, , , , ,1,1,2,2, ,2, ,1,1, ,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,4,2,9,2,3,1,8,8,1,8,9,1,1,72,1, ,1,1,1, , , ,3,2, ,1,2, ,1, ,1,1,1,1,2, ,2,2,2,2,2, , ,2,1,1,1,1.66666666666667,5.50048952179513E-005,6.56580654096667E-005,2,.000300410965084182,.000393404518276628,1
206811,2.92857142857143,2,82014,1,2,39,R,1,1,2,2,3,2,3,2,2, ,2,1,1,1,1,2,2,2, , , , ,1,1,1,1,2,2,2, , , ,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,4,1,1,1,3,1,2,1,3,2,1,6,1,37,6,1,2,1,1, , , ,1, ,1,1,1, ,1, ,1,4,9,1,1, ,2,3,2,1,1, , ,1,1,1,1,1.5,3.29336414133253E-005,3.77968852135672E-005,2,.0013610615748902,.00128028226519167,1
206822,1.85714285714286,2,82114,1,3,22,R,1,2,2,3,3,3,4,4, ,1,4,1,2,2,2,2,1,1, , , , ,1,1,2,2, ,1, ,1,1, ,2,1,2,2,2,1,2,2,1,2,2,2,1,2,1,2,4,2,2,1,1,1,1,8,3,2,1,4,2,69,3, ,2,1,1, , , ,1, ,1,6,2, ,1, ,1,1,2,1,3,9,1,1, ,2,2, , ,1,1,1,1,1.5,3.33582575351161E-005,4.59553904307703E-005,1,.00118140746246032,.00128581392192223,1
