scoreHard,scoreMedium,scoreEasy,scoreAverage,scoreComp,Round1,condition,perfChange1 ,momentum1,perfChange2,momentum2,likelyWin,playAgain,familiarTask,education,age,gender,fun,mood,easierHarder
8,13,14,12,14,Hard,posMom,5,24,5,25,3,1,3,2,28,1,4,6,1
9,8,10,9,13,Easy,negMom,3,35,4,51,6,1,3,4,46,1,4,5,3
6,12,14,11,12,Hard,posMom,6,48,5,40,4,1,1,2,23,2,5,6,3
12,11,18,14,17,Hard,posMom,4,50,5,63,8,1,2,2,21,1,4,4,3
13,15,21,16,21,Easy,negMom,3,92,2,86,7,1,1,2,42,2,6,6,3
6,11,15,11,13,Hard,posMom,6,73,6,78,8,1,2,2,31,1,5,5,1
6,7,9,7,7,Hard,posMom,4,62,5,71,4,1,2,3,34,2,4,6,3
13,16,17,15,19,Easy,negMom,4,64,3,50,3,1,2,4,37,1,5,6,2
4,6,7,6,10,Easy,negMom,3,28,3,21,4,1,1,2,42,2,4,4,2
3,3,12,6,0,Easy,negMom,1,18,2,0,1,2,3,1,25,1,2,3,2
7,10,15,11,8,Easy,negMom,3,86,2,51,2,1,2,2,41,2,5,4,3
9,13,8,10,10,Easy,negMom,6,86,3,49,5,1,1,2,45,1,6,7,3
1,4,4,3,0,Easy,negMom,4,56,2,40,3,2,2,2,26,1,2,4,2
4,10,13,9,9,Easy,negMom,3,100,1,50,4,1,3,3,43,2,6,7,2
1,7,2,3,0,Easy,negMom,7,74,3,72,1,2,1,2,29,1,4,5,2
8,9,9,9,13,Easy,negMom,4,73,5,72,6,1,2,2,69,2,4,6,3
3,5,8,5,3,Hard,posMom,5,65,7,87,7,1,1,3,39,2,4,5,3
2,8,15,8,8,Hard,posMom,7,44,7,53,10,1,1,4,22,2,2,6,1
4,6,10,7,0,Hard,posMom,7,94,7,100,2,2,2,4,27,1,5,7,1
6,8,12,9,12,Hard,posMom,5,52,5,58,8,1,3,3,60,1,2,4,3
2,3,2,2,0,Hard,posMom,5,52,1,2,1,2,1,5,42,2,1,2,3
7,11,4,7,13,Easy,negMom,7,99,5,58,8,1,2,2,19,1,2,5,1
14,16,21,17,21,Hard,posMom,5,73,6,89,8,1,2,2,51,2,5,6,3
7,7,12,9,7,Hard,posMom,4,77,6,85,9,1,2,3,29,2,5,5,2
13,11,18,14,22,Easy,negMom,3,35,4,70,8,1,3,5,46,2,5,5,2
12,16,12,13,15,Easy,negMom,6,83,2,51,5,1,3,2,70,2,6,,2
7,14,13,11,14,Hard,posMom,5,30,3,17,3,1,2,4,67,1,2,5,3
10,11,13,11,13,Easy,negMom,3,50,3,50,5,1,2,2,32,2,4,5,2
7,9,12,9,12,Hard,posMom,5,64,6,79,8,1,3,2,46,2,5,6,3
13,12,3,9,19,Easy,negMom,7,95,7,52,4,1,2,4,51,2,5,7,1
12,14,18,15,17,Hard,posMom,7,70,7,99,10,1,1,3,22,2,6,7,3
11,12,12,12,13,Easy,negMom,4,100,3,100,7,1,1,2,46,2,6,2,3
14,17,15,15,17,Easy,negMom,5,59,4,50,6,1,2,4,28,2,4,5,3
10,12,9,10,9,Hard,posMom,6,61,3,51,4,1,2,2,49,2,5,5,3
1,1,2,1,0,Hard,posMom,5,60,5,62,7,2,3,2,27,1,1,2,3
13,11,18,14,0,Easy,negMom,3,25,3,30,4,2,2,4,42,2,2,4,3
5,9,16,10,12,Easy,negMom,2,98,1,18,6,1,1,3,27,2,6,7,2
7,10,13,10,12,Easy,negMom,3,67,3,51,3,1,4,2,88,2,6,6,2
10,8,16,11,19,Hard,posMom,3,90,7,100,9,1,2,2,20,2,5,2,1
