scoreHard,scoreMedium,scoreEasy,scoreAverage,scoreComp,Round1,condition,perfChange1 ,momentum1,perfChange2,momentum2,likelyWin,playAgain,familiarTask,education,age,gender,fun,mood,easierHarder
8,10,14,11,0,Easy,negMom,4,50,4,31,2,2,2,4,43,1,2,5,2
9,8,12,10,5,Hard,posMom,4,23,4,34,5,1,2,2,26,1,4,4,2
3,6,7,5,5,Easy,negMom,3,61,1,14,5,1,1,2,38,1,4,3,2
7,5,6,6,8,Easy,negMom,1,44,5,62,2,1,2,2,24,2,2,3,2
7,7,9,8,7,Hard,posMom,4,100,5,100,3,1,3,2,54,2,5,6,3
7,11,16,11,15,Easy,negMom,4,50,2,50,7,1,2,2,34,2,5,5,3
15,17,18,17,18,Hard,posMom,6,76,5,57,8,1,2,2,47,1,4,6,2
10,9,8,9,4,Easy,negMom,5,62,6,61,6,1,1,3,31,2,2,5,1
11,16,17,15,19,Hard,posMom,7,80,7,91,7,1,2,2,28,2,6,6,1
12,14,17,14,20,Hard,posMom,5,58,6,66,10,1,2,4,47,2,2,6,1
1,3,12,5,7,Hard,posMom,5,61,6,82,5,1,1,3,33,1,2,4,3
13,10,9,11,11,Easy,negMom,4,78,4,71,4,1,2,3,51,2,5,6,3
8,12,9,10,12,Hard,posMom,7,100,5,100,5,1,3,2,34,2,6,7,2
6,7,10,8,0,Hard,posMom,5,57,6,61,10,2,2,2,45,2,2,4,3
9,11,11,10,12,Easy,negMom,4,41,2,45,3,1,4,3,41,2,5,5,3
2,4,16,7,11,Hard,posMom,5,50,7,80,10,1,2,4,27,1,4,5,3
8,9,11,9,12,Easy,negMom,2,50,1,23,3,1,1,4,39,2,5,5,2
10,12,12,11,13,Easy,negMom,4,61,2,67,7,1,2,2,42,2,5,6,3
9,10,15,11,15,Hard,posMom,5,34,6,45,7,1,2,3,27,1,4,6,3
1,5,2,3,0,Easy,negMom,5,81,1,97,5,2,1,3,25,2,4,5,2
15,19,28,21,25,Hard,posMom,5,64,7,87,7,1,2,4,34,2,5,6,3
15,16,17,16,18,Easy,negMom,4,19,3,17,4,1,3,2,33,2,4,6,2
16,13,18,16,18,Hard,posMom,2,11,3,17,4,1,2,4,41,2,4,5,3
11,5,9,8,12,Easy,negMom,1,50,7,78,5,1,1,3,30,1,6,6,2
4,5,4,4,0,Easy,negMom,6,86,3,48,5,2,1,3,35,1,4,5,2
2,4,5,4,0,Easy,negMom,4,48,3,23,4,2,1,3,33,2,4,6,3
13,10,8,10,11,Easy,negMom,6,68,6,75,4,1,1,2,50,2,4,4,1
9,9,9,9,10,Easy,negMom,4,58,4,50,6,1,2,3,33,1,4,6,2
9,12,13,11,14,Hard,posMom,5,89,6,83,10,1,1,3,24,2,5,4,3
9,13,13,12,14,Hard,posMom,5,72,4,51,5,1,2,2,31,1,2,5,1
8,5,11,8,0,Hard,posMom,2,30,5,50,5,2,2,2,48,2,4,5,3
17,18,24,20,18,Hard,posMom,4,50,5,51,6,1,2,5,33,2,4,5,1
7,6,3,5,11,Easy,negMom,5,50,5,60,9,1,3,2,24,2,5,6,1
10,13,13,12,22,Easy,negMom,4,52,3,44,4,1,3,2,48,2,5,6,3
10,11,7,9,8,Hard,posMom,5,76,3,50,6,1,2,3,31,2,2,4,2
4,2,1,2,0,Easy,negMom,1,2,2,25,3,2,1,5,73,1,2,4,3
9,13,17,13,16,Hard,posMom,5,73,6,82,6,1,2,2,32,2,4,6,3
1,6,10,6,6,Easy,negMom,4,50,2,50,5,1,2,3,30,2,4,5,2
5,6,5,5,0,Hard,posMom,4,51,4,45,4,2,3,3,43,2,5,5,3
6,10,10,9,9,Easy,negMom,4,66,2,36,3,1,1,3,37,2,5,6,2
7,10,15,11,0,Hard,posMom,6,16,7,47,1,2,2,2,20,2,4,6,2
7,13,20,13,18,Hard,posMom,6,61,7,94,6,1,2,3,31,1,5,7,1
8,8,11,9,13,Easy,negMom,4,39,3,2,5,1,3,3,29,1,4,5,2
15,24,21,20,0,Easy,negMom,5,28,4,20,5,2,2,3,28,2,4,3,2
16,25,34,25,36,Hard,posMom,6,50,6,65,6,1,2,3,30,2,6,3,1
3,5,6,5,0,Hard,posMom,5,63,6,62,5,2,1,3,33,1,4,6,1
4,6,6,5,0,Hard,posMom,6,55,5,64,4,2,1,3,32,1,2,4,1
4,8,8,7,3,Easy,negMom,4,50,3,50,5,1,2,3,37,2,4,4,2
11,11,14,12,0,Easy,negMom,3,51,3,29,4,2,3,2,52,2,4,4,2
14,12,10,12,15,Easy,negMom,5,76,5,77,4,1,3,3,29,1,5,7,3
9,10,14,11,8,Easy,negMom,3,18,2,4,5,1,1,2,21,1,2,4,3
6,5,6,6,3,Hard,posMom,3,83,4,61,7,1,2,2,19,1,2,4,2
12,23,23,19,24,Easy,negMom,4,22,2,0,4,1,1,3,47,1,4,5,3
3,3,8,5,8,Hard,posMom,1,0,5,22,1,1,1,3,28,1,1,2,1
6,6,13,8,0,Hard,posMom,4,18,4,24,3,2,3,3,52,1,1,4,1
4,7,6,6,6,Easy,negMom,4,10,4,5,2,1,2,2,45,2,4,3,2
4,7,12,8,11,Easy,negMom,3,63,2,45,5,1,2,4,26,1,2,6,2
4,5,6,5,5,Hard,posMom,5,34,6,46,5,1,2,3,30,1,4,5,1
2,5,9,5,0,Hard,posMom,6,50,7,70,5,2,1,2,22,1,4,3,1
14,14,17,15,11,Easy,negMom,3,82,3,82,4,1,2,3,37,2,5,3,2
9,13,12,11,12,Hard,posMom,6,65,6,80,8,1,2,2,58,2,5,6,1
18,19,21,19,18,Easy,negMom,3,37,3,41,4,1,2,4,48,2,4,4,2
7,9,9,8,11,Easy,negMom,4,75,3,50,9,1,2,2,51,1,4,5,3
6,9,10,8,12,Easy,negMom,3,75,2,43,5,1,3,2,66,1,6,6,2
13,11,12,12,0,Easy,negMom,4,74,5,61,5,2,1,3,42,2,2,4,2
5,8,9,7,8,Hard,posMom,7,55,5,50,7,1,1,3,23,2,6,7,2
4,4,9,6,0,Easy,negMom,2,49,4,50,1,2,2,3,30,2,4,4,2
14,18,21,18,23,Hard,posMom,6,60,7,82,10,1,2,3,41,1,5,6,3
12,17,13,14,12,Hard,posMom,6,79,4,77,8,1,3,3,26,2,5,5,3
5,5,7,6,0,Hard,posMom,4,51,5,73,2,2,1,3,34,2,4,6,1
5,16,17,13,0,Easy,negMom,5,50,1,0,5,2,2,4,23,1,2,5,2
7,15,14,12,23,Hard,posMom,7,32,6,39,4,1,3,3,46,2,5,5,3
9,13,10,11,14,Easy,negMom,6,75,3,78,5,1,2,2,26,1,4,5,2
16,16,22,18,19,Easy,negMom,2,24,3,30,3,1,2,2,37,2,4,5,2
9,8,10,9,6,Easy,negMom,6,12,4,2,8,1,3,3,30,2,4,5,2
10,10,18,13,0,Easy,negMom,3,50,4,50,3,2,3,3,29,1,4,5,2
13,17,15,15,0,Hard,posMom,6,78,6,40,5,2,2,3,24,1,5,5,1
14,16,20,17,20,Hard,posMom,5,77,6,79,5,1,4,4,40,2,5,6,3
9,6,15,10,14,Hard,posMom,3,26,6,83,8,1,1,3,29,1,4,6,1
9,9,13,10,13,Hard,posMom,4,84,6,90,9,1,2,4,31,2,6,6,1
10,11,15,12,17,Easy,negMom,3,49,3,45,3,1,3,3,51,2,4,6,2
3,4,6,4,6,Hard,posMom,5,71,6,84,9,1,1,3,54,1,6,7,2
10,5,16,10,12,Easy,negMom,1,24,3,50,2,1,2,3,27,2,5,6,2
16,12,17,15,19,Hard,posMom,5,69,7,96,6,1,1,3,37,2,5,6,3
9,11,10,10,13,Easy,negMom,5,39,3,33,8,1,3,2,20,2,2,4,2
8,12,20,13,17,Easy,negMom,3,47,1,8,4,1,1,2,20,2,2,5,2
6,7,10,8,10,Hard,posMom,4,34,5,50,5,1,2,2,49,1,2,4,1
3,6,9,6,0,Hard,posMom,5,50,6,64,3,2,2,4,44,2,2,4,1
3,10,9,7,9,Easy,negMom,4,70,1,15,3,1,1,2,32,2,5,5,2
9,9,16,11,15,Hard,posMom,4,64,7,92,9,1,4,3,46,2,6,7,1
4,6,5,5,7,Easy,negMom,4,86,4,64,4,1,2,4,36,1,6,6,2
7,6,11,8,10,Hard,posMom,3,70,5,81,6,1,1,3,40,2,5,7,1
2,2,3,2,2,Easy,negMom,3,50,3,50,4,1,2,2,37,2,2,6,2
1,1,1,1,1,Hard,posMom,6,64,4,64,7,1,1,3,26,1,2,6,1
6,5,2,4,8,Easy,negMom,5,45,5,52,9,1,2,2,32,1,4,5,3
6,9,10,8,7,Hard,posMom,5,50,5,54,5,1,3,3,29,2,5,6,1
8,10,9,9,13,Easy,negMom,4,54,4,54,2,1,2,2,27,2,4,4,3
5,0,2,2,5,Easy,negMom,1,22,5,53,4,1,2,2,36,2,4,5,1
