Crime Language,CrimP PPrspPctivP,Gender,Age,Age of Acquisition English,English written comprehension,English written production,English oral comprehension,English oral production,English overall proficiency,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Comprehension Scenario 1,Comprehension Scenario 2,Comprehension Scenario 3,Comprehension Scenario 4
E,T,f,18,13,5,5,6,6,5.5,6.7,7.6,5.4,8,90,80,70,90
E,T,f,18,12,6,4,5,4,4.75,7.3,7.4,6.9,5.6,85,80,75,85
E,T,m,18,12,4,5,3.5,4,4.125,8.5,7.5,8.9,8.2,65,95,75,80
E,T,f,17,12,5,4,6,5,5,8.6,7.7,8.3,8.5,95,90,95,95
E,T,f,18,13,5,6,5,5,5.25,7.1,4.2,7.3,8.5,95,95,92,95
E,T,f,18,13,6,6,6,5,5.75,8.1,8,8.6,8.5,90,90,80,80
E,T,f,18,13,6,5,5,5,5.25,7.5,8.7,8.7,8.8,100,100,99,100
E,T,f,18,13,7,6,6,6,6.25,5.6,7.2,6.3,6.7,100,100,100,100
E,T,f,18,13,5,5,5,5,5,6.7,5,7.2,8.3,90,90,90,90
E,T,f,19,12,6,6,6,6,6,5.4,2,5.8,2.7,85,80,80,80
E,T,m,18,14,4,4,3,2,3.25,8,4.9,8.7,5.9,80,80,70,70
E,T,f,18,13,6,6,7,7,6.5,7.2,5.8,8.8,7.4,100,100,100,100
D,P,f,19,6,6,6,6,6,6,8,8.2,8,7.7,100,100,93,100
D,P,f,18,14,6,5,5,5,5.25,6.5,5,9,9,100,95,90,75
D,P,f,18,13,6,5.5,6,5,5.625,6.7,6.3,7.5,5.5,95,95,95,95
D,P,f,17,6,7,7,7,7,7,4.8,2.5,7,6.2,100,100,100,100
D,P,f,18,13,5,4,6,5,5,8.2,9,9,7.5,100,100,100,100
D,P,f,17,5,7,6,7,6,6.5,9,6.6,9,9,100,100,100,100
D,P,f,18,14,5,4,5,4,4.5,6.3,7.5,7.3,7.5,55,85,90,95
D,P,f,18,13,6,4.5,6,5,5.375,7.3,6.8,7.5,8.5,100,100,100,100
D,P,f,20,13,5,5,6,5,5.25,8.7,5.3,9,8.3,100,100,100,100
D,P,f,18,13,5,5,5,5,5,9,9,9,9,100,100,100,100
D,P,f,19,10,6,5,7,6,6,4,5.5,6.8,5.3,90,80,80,70
D,P,f,18,13,7,4,6,5,5.5,9,7,8,9,50,100,60,80
D,P,f,18,13,5,5,5,5,5,8,5.5,9,4.4,90,90,90,90
D,P,f,19,12,7,6,7,5,6.25,8,8,7,7,100,80,70,100
D,P,f,17,13,6,5,5,4,5,4.5,6.2,7.7,7.7,100,90,100,100
D,P,f,18,13,5,4,3,3,3.75,7.7,6.7,9,8,100,100,100,100
D,P,f,18,3,6.5,6.5,7,6.5,6.625,7,6.5,6.5,8.5,90,90,87,86
D,P,m,19,11,6,6,6,6,6,7.8,7.8,7.5,7.5,90,100,100,100
D,P,f,18,13,6,5,6,6,5.75,7.5,6,7.3,6.8,80,85,70,85
D,P,f,18,14,6,6,6,6,6,7.5,4.6,6.5,8.3,80,80,90,90
D,P,f,19,14,6,4,5,4,4.75,8.5,8.8,8.2,8,100,100,100,100
D,P,f,18,13,6,5,7,4,5.5,7.8,6,8.5,9,90,100,90,100
D,P,m,18,12,6,5,4,3,4.5,4.8,4.3,8.5,5.8,70,85,90,90
D,P,f,18,13,5,6,6,5,5.5,6.7,6.5,5.5,7,60,60,50,60
D,P,f,18,13,5,5,6,5,5.25,6,4.5,7.5,6,100,100,100,100
D,P,f,18,12,5,5,5,5,5,6.8,6.5,9,7.7,60,70,90,100
D,P,m,18,12,5,5,6,6,5.5,4.5,8,5.5,7,70,73,73,78
D,P,f,17,10,5,6,6,5,5.5,7.5,7.7,8,8.5,100,75,100,90
D,P,f,19,13,6,6,5,5,5.5,5.6,7.6,6.6,9,85,90,85,85
D,P,f,18,7,5,4,6,5,5,4.3,6.6,8.2,7.2,80,80,80,90
D,P,f,19,13,5,5,5,4,4.75,7.8,7,8,8.4,90,95,95,95
D,P,f,18,13,4,6,5,6,5.25,8,8,8,8,90,90,90,90
D,P,m,19,7,6,6,6,6,6,4.7,6.5,5.3,5.3,75,70,78,77
D,P,f,18,12,6,5,6,5,5.5,6.5,9,9,9,95,99,100,100
D,P,f,18,14,5,4,4,3,4,6.8,7.2,7.8,7.7,95,95,85,85
D,P,f,18,13,5.5,4.5,5,4,4.75,6,7,7.3,8.2,80,70,90,90
D,P,f,18,11,4,3,5,4,4,7.5,7.6,8.8,8.4,100,100,100,100
D,P,f,18,13,6,4,5,4,4.75,7.5,7,9,9,100,100,100,100
D,P,f,22,12,7,7,6,5,6.25,8,8.2,7.3,7.8,80,90,90,90
D,P,m,18,11,6,6,6,5,5.75,8.5,3,8.7,8.5,100,100,80,100
D,P,m,18,13,6,6,5,2,4.75,7,7,8,8,100,100,100,100
D,P,f,17,12,6,6,7,6,6.25,9,7.5,9,9,75,80,70,75
D,P,f,18,14,6,5,7,6,6,7.2,5,8.3,8.2,100,100,100,100
D,P,f,19,6,6,5,7,6,6,9,9,8,7.7,100,100,100,100
D,P,f,19,9,5,6,6.5,6.5,6,9,5.5,4.8,3,100,100,100,100
D,P,f,18,14,5,4,5,4,4.5,8.7,7.5,9,9,100,95,85,100
D,P,f,18,14,5,4,6,5,5,7.5,6.7,9,8,100,95,95,100
D,P,f,18,9,5,4,6,4,4.75,8,8.2,8,8.2,100,100,100,100
D,P,f,18,9,7,7,7,7,7,7.8,6,7.6,8,90,90,100,95
D,P,m,19,12,6,5,6,4,5.25,9,9,9,9,100,100,100,100
D,P,f,18,13,6,6,6,5,5.75,6.8,7.5,6.9,8.3,95,100,95,100
D,P,f,17,12,5,5,6,5.5,5.375,8.5,7.7,8.3,7.5,75,80,85,85
D,P,f,19,13,3,3,3,3,3,7,6,7,7,95,95,95,95
D,P,f,18,10,5.5,5,6,5,5.375,6,7.8,8.3,7.5,100,100,100,100
D,P,f,19,12,5,4,6,5,5,5.7,6.8,8.7,6.6,90,80,80,70
