ID,Block,Trial,BlockType,Condition_Director,CorrectAnswer,IncorrectAnswer,Position,ACC,Stimulus.RT,TrialType,Testlist,Item
5,6,4,1,1,P,?,2,1,307,0,5,15
5,7,2,2,1,N,?,3,1,2148,0,6,16
5,7,3,2,1,P,?,3,0,3324,0,6,17
5,7,4,2,1,F,B,3,1,5132,2,6,18
5,8,2,1,1,M,?,3,1,2924,0,7,19
5,8,3,1,1,A,?,3,1,3260,0,7,20
5,8,4,1,1,J,?,3,1,2180,1,7,21
5,9,2,2,1,M,?,2,0,2524,0,8,22
5,9,3,2,1,I,O,2,0,3052,2,8,23
5,9,4,2,1,G,?,2,1,3348,0,8,24
5,10,2,2,1,C,?,3,1,3004,0,9,25
5,10,3,2,1,P,?,3,1,3180,0,9,26
5,10,4,2,1,J,D,3,1,4300,2,9,27
5,11,2,1,1,J,?,2,1,2323,0,10,28
5,11,3,1,1,M,?,2,1,4780,1,10,29
5,11,4,1,1,H,?,2,1,3467,0,10,30
5,12,2,2,1,E,J,1,0,0,2,11,31
5,12,3,2,1,L,?,1,1,2427,0,11,32
5,12,4,2,1,M,?,1,1,2443,0,11,33
5,13,2,1,1,L,?,3,1,2739,0,12,34
5,13,3,1,1,D,?,3,1,2843,0,12,35
5,13,4,1,1,F,?,3,1,2619,1,12,36
5,14,2,2,1,D,E,1,0,3867,2,13,37
5,14,3,2,1,F,?,1,1,2883,0,13,38
5,14,4,2,1,J,?,1,1,4307,0,13,39
5,15,2,2,1,A,?,2,0,0,0,14,40
5,15,3,2,1,K,F,2,0,3436,2,14,41
5,15,4,2,1,H,?,2,1,2972,0,14,42
5,16,2,1,1,C,?,3,1,3172,0,15,43
5,16,3,1,1,F,?,3,1,3460,0,15,44
5,16,4,1,1,K,?,3,0,0,1,15,45
5,17,2,1,1,L,?,2,1,3172,0,16,46
5,17,3,1,1,I,?,2,1,4604,1,16,47
5,17,4,1,1,G,?,2,0,0,0,16,48
5,1,2,2,2,O,?,2,1,4571,0,1,49
5,1,3,2,2,I,B,2,0,4571,2,1,50
5,1,4,2,2,P,?,2,1,5163,0,1,51
5,2,2,1,2,M,?,1,1,3420,1,2,52
5,2,3,1,2,E,?,1,1,3252,0,2,53
5,2,4,1,2,N,?,1,1,2892,0,2,54
5,3,2,1,2,A,?,2,1,4436,0,3,55
5,3,3,1,2,K,?,2,1,3812,1,3,56
5,3,4,1,2,D,?,2,0,0,0,3,57
5,4,2,2,2,L,?,3,1,4756,0,4,58
5,4,3,2,2,N,?,3,1,4068,0,4,59
5,4,4,2,2,B,H,3,1,2996,2,4,60
5,5,2,2,2,P,?,2,1,4796,0,5,61
5,5,3,2,2,E,D,2,0,4972,2,5,62
5,5,4,2,2,K,?,2,1,2828,0,5,63
5,6,2,1,2,L,?,1,1,5251,1,6,64
5,6,3,1,2,A,?,1,1,2675,0,6,65
5,6,4,1,2,K,?,1,1,2875,0,6,66
5,7,2,2,2,A,?,3,1,4723,0,7,67
5,7,3,2,2,O,?,3,1,3779,0,7,68
5,7,4,2,2,F,H,3,0,5083,2,7,69
5,8,2,1,2,L,?,1,1,4051,1,8,70
5,8,3,1,2,E,?,1,1,3579,0,8,71
5,8,4,1,2,G,?,1,1,5379,0,8,72
5,9,2,2,2,D,?,2,1,5219,0,9,73
5,9,3,2,2,K,N,2,0,0,2,9,74
5,9,4,2,2,M,?,2,0,235,0,9,75
5,10,2,1,2,K,?,2,1,2979,0,10,76
5,10,3,1,2,E,?,2,1,3824,1,10,77
5,10,4,1,2,C,?,2,1,2368,0,10,78
5,11,2,2,2,L,O,1,0,4704,2,11,79
5,11,3,2,2,G,?,1,0,0,0,11,80
5,11,4,2,2,F,?,1,0,448,0,11,81
5,12,2,1,2,P,?,2,1,5112,0,12,82
5,12,3,1,2,I,?,2,0,4904,1,12,83
5,12,4,1,2,D,?,2,1,4544,0,12,84
5,13,2,2,2,M,L,1,0,4152,2,13,85
5,13,3,2,2,N,?,1,0,40,0,13,86
5,13,4,2,2,C,?,1,1,3960,0,13,87
5,14,2,1,2,N,?,3,1,2456,0,14,88
5,14,3,1,2,E,?,3,1,2848,0,14,89
5,14,4,1,2,B,?,3,1,2743,1,14,90
5,15,2,1,2,D,?,3,1,3599,0,15,91
5,15,3,1,2,A,?,3,1,3383,0,15,92
5,15,4,1,2,F,?,3,1,2855,1,15,93
5,16,2,2,2,L,N,1,0,3663,2,16,94
5,16,3,2,2,K,?,1,1,4047,0,16,95
5,16,4,2,2,C,?,1,1,3271,0,16,96
6,2,2,2,1,D,?,2,1,2551,0,1,1
6,2,3,2,1,M,P,2,0,2391,2,1,2
6,2,4,2,1,J,?,2,1,2478,0,1,3
6,3,2,1,1,D,?,1,1,4118,1,2,4
6,3,3,1,1,J,?,1,1,3407,0,2,5
6,3,4,1,1,O,?,1,1,2622,0,2,6
6,4,2,1,1,E,?,1,0,0,1,3,7
6,4,3,1,1,M,?,1,1,4686,0,3,8
6,4,4,1,1,P,?,1,1,2622,0,3,9
6,5,2,2,1,C,?,3,1,2878,0,4,10
6,5,3,2,1,H,?,3,1,2486,0,4,11
6,5,4,2,1,K,N,3,0,2222,2,4,12
6,6,2,1,1,H,?,2,1,2102,0,5,13
6,6,3,1,1,K,?,2,0,5055,1,5,14
6,6,4,1,1,P,?,2,1,4519,0,5,15
6,7,2,2,1,N,?,3,1,2615,0,6,16
6,7,3,2,1,P,?,3,1,2479,0,6,17
6,7,4,2,1,F,B,3,1,2903,2,6,18
6,8,2,1,1,M,?,3,1,2831,0,7,19
6,8,3,1,1,A,?,3,1,2423,0,7,20
6,8,4,1,1,J,?,3,1,2527,1,7,21
6,9,2,2,1,M,?,2,1,2255,0,8,22
6,9,3,2,1,I,O,2,0,4439,2,8,23
6,9,4,2,1,G,?,2,1,2103,0,8,24
6,10,2,2,1,C,?,3,1,2135,0,9,25
6,10,3,2,1,P,?,3,1,2151,0,9,26
6,10,4,2,1,J,D,3,1,2575,2,9,27
6,11,2,1,1,J,?,2,1,2415,0,10,28
6,11,3,1,1,M,?,2,1,3263,1,10,29
