id,condition,rt_1,rt_2,rt_3,rt_4,rt_5,acc_1,acc_2,acc_3,acc_4,acc_5,intercept1_3,slope1_3,slope1_4
14,1,0.5089,0.5981,0.6728,0.8330,0.7196,0.9833,0.9333,0.9833,0.9167,1.0000,429.296666666667,81.9799999999998,104.700000000000
15,1,0.7649,0.9745,0.9810,1.5101,1.4285,1.0000,0.9833,1.0000,1.0000,1.0000,690.683333333334,108.045000000000,224.202500000000
16,1,0.6456,0.6884,0.6894,0.9781,0.8404,0.9667,0.9167,0.9500,0.8000,0.9167,630.626666666667,21.9224999999998,99.8680000000000
17,1,0.6799,0.7648,0.8287,1.1516,1.1226,1.0000,0.9833,0.9833,0.9167,1.0000,609.070000000000,74.3674999999999,147.876500000000
18,1,0.6681,0.6574,0.7912,0.9764,0.8174,1.0000,1.0000,0.9833,0.9667,1.0000,582.436666666667,61.5674999999999,105.877000000000
19,1,0.8679,0.8862,1.0477,1.3362,1.0351,1.0000,1.0000,0.9667,1.0000,1.0000,754.180000000001,89.8724999999999,156.625500000000
20,1,0.6710,0.7415,0.8440,0.9102,0.8895,0.9833,0.9833,1.0000,0.9667,0.9833,579.206666666667,86.4850000000000,81.9950000000000
1,2,0.7619,0.8693,1.0548,1.2874,1.1853,1.0000,1.0000,0.9667,0.8833,0.9500,602.515000000001,146.420000000000,176.196500000000
2,2,0.6605,0.6774,0.8050,1.1643,1.1544,0.9667,0.9667,0.9500,0.8167,0.8333,569.863333333334,72.2149999999999,163.903000000000
3,2,0.6763,0.7228,0.8618,1.0646,0.9779,1.0000,1.0000,0.9833,0.9333,0.9333,568.100000000000,92.7549999999999,130.397500000000
4,2,0.6168,0.7417,0.8022,1.0820,0.8779,0.9333,0.8833,0.9000,0.6667,0.7167,534.840000000001,92.6949999999999,145.612000000000
5,2,0.7502,0.7994,0.9134,1.0155,0.9980,1.0000,0.9833,0.9833,0.9500,0.9333,657.763333333334,81.6200000000000,91.0030000000000
6,2,0.7340,0.8727,1.1152,1.5332,1.8235,0.9833,1.0000,1.0000,0.9333,0.8667,526.148333333334,190.580000000000,263.984500000000
7,2,0.6556,0.7749,0.8533,1.1497,1.1384,1.0000,0.9833,0.9167,0.9500,0.9167,563.633333333334,98.8199999999999,156.062000000000
8,2,0.6119,0.7420,0.9067,1.2456,1.1617,1.0000,0.9833,1.0000,0.9667,0.9667,458.786666666667,147.365000000000,206.569500000000
9,2,0.8204,0.9339,1.1344,1.2112,1.4704,1.0000,1.0000,0.9833,0.9500,0.8500,648.940000000000,156.982500000000,137.272500000000
10,2,1.1927,1.3025,1.4770,1.6647,2.0697,1.0000,1.0000,1.0000,1.0000,1.0000,1039.74666666667,142.145000000000,159.043500000000
11,2,0.5608,0.7345,0.7312,1.0126,0.9114,1.0000,0.9333,1.0000,0.9000,0.8833,505.150000000001,85.1874999999998,135.190000000000
12,2,0.5485,0.6173,0.7201,0.9953,1.0165,1.0000,0.9500,0.9667,0.9000,0.8667,457.066666666667,85.7899999999998,144.322500000000
13,2,0.8491,0.9818,1.0735,1.3300,1.7340,1.0000,0.9833,1.0000,1.0000,0.9333,743.763333333334,112.182500000000,153.437500000000
14,2,0.5143,0.6001,0.7355,0.9888,0.8882,0.9833,0.9667,0.9833,0.9000,0.8833,395.370000000000,110.635000000000,155.894500000000
15,2,0.7788,0.9254,1.0118,1.4412,1.3609,1.0000,1.0000,1.0000,0.9667,0.9833,672.295000000000,116.507500000000,207.373000000000
16,2,0.7280,0.7170,0.7331,1.1018,0.9140,0.9333,0.9167,0.9333,0.8000,0.7500,720.856666666667,2.57249999999990,113.773000000000
17,2,0.6827,0.8343,0.9211,1.1633,1.3639,1.0000,1.0000,0.9500,0.9167,0.9500,574.226666666668,119.230000000000,152.888000000000
18,2,0.6498,0.6873,0.8321,0.9640,1.2083,1.0000,0.9833,1.0000,0.9333,0.9500,540.723333333334,91.1724999999999,108.756000000000
19,2,0.8332,0.9604,1.1428,1.1962,1.4350,1.0000,0.9833,1.0000,0.9833,0.9167,669.296666666667,154.760000000000,127.122000000000
20,2,0.6935,0.7315,0.8408,1.0058,1.0728,1.0000,0.9667,0.9667,1.0000,0.8667,607.963333333334,73.6499999999999,104.630000000000
