id,draw,score,R,P,S,,W,L,D,,RT after W,RT after L,RT after D,,WinStay,LoseShift,DrawShift,,Final Score
11,-1,no,0.355555555555556,0.333333333333333,0.311111111111111,,0.277777777777778,0.288888888888889,0.433333333333333,,434,300,250,,0.16,0.76,0.871794871794872,,-40
12,-1,no,0.322222222222222,0.355555555555556,0.322222222222222,,0.322222222222222,0.222222222222222,0.455555555555556,,517,367,384,,0.413793103448276,0.473684210526316,0.658536585365854,,-32
13,-1,no,0.222222222222222,0.266666666666667,0.511111111111111,,0.266666666666667,0.344444444444444,0.388888888888889,,408.5,534,651,,0.25,0.733333333333333,0.742857142857143,,-42
14,-1,no,0.322222222222222,0.366666666666667,0.311111111111111,,0.344444444444444,0.355555555555556,0.3,,300,358.5,367,,0.633333333333333,0.84375,0.777777777777778,,-28
15,-1,no,0.422222222222222,0.4,0.177777777777778,,0.377777777777778,0.255555555555556,0.366666666666667,,142,184,167,,0.558823529411765,0.608695652173913,0.625,,-22
16,-1,no,0.366666666666667,0.377777777777778,0.255555555555556,,0.333333333333333,0.377777777777778,0.288888888888889,,292,292,150,,0.666666666666667,0.794117647058824,0.76,,-30
17,-1,no,0.388888888888889,0.266666666666667,0.344444444444444,,0.366666666666667,0.377777777777778,0.255555555555556,,1218,275.5,534,,0.0303030303030303,0.882352941176471,0.954545454545455,,-24
18,-1,no,0.322222222222222,0.366666666666667,0.311111111111111,,0.333333333333333,0.344444444444444,0.322222222222222,,567.5,417,458.5,,0.2,0.774193548387097,0.892857142857143,,-30
19,-1,no,0.322222222222222,0.3,0.377777777777778,,0.3,0.377777777777778,0.322222222222222,,417,609,209,,0.407407407407407,0.705882352941176,0.714285714285714,,-36
20,-1,no,0.277777777777778,0.422222222222222,0.3,,0.411111111111111,0.288888888888889,0.3,,400.5,375,451,,0.194444444444444,0.807692307692308,0.703703703703704,,-16
21,-1,no,0.322222222222222,0.344444444444444,0.333333333333333,,0.333333333333333,0.255555555555556,0.411111111111111,,167,150,167,,0,0.0909090909090909,1,,-30
