scoreHard,scoreMedium,scoreEasy,scoreAverage,scoreComp,Round1,status,condition,perfChange1 ,momentum1,perfChange2,momentum2,likelyWin,playAgain,familiarTask,education,age,gender,fun,mood,easierHarder,dweckNeg1,dweckNeg2,dweckNeg3,dweckNeg4,dweckNeg1rev,dweckNeg2rev,dweckNeg3rev,dweckNeg4rev,dweckPos1,dweckPos2,dweckPos3,dweckPos4,dweckAvg,compStats
2,8,10,7,0,Hard,Underdog,posMomUnder,5,,6,72,7,2,1,2,72,1,4,6,1,4,4,3,3,4,4,5,5,6,6,6,5,5.125,
7,10,9,9,12,Easy,Favorite,negMomFav,6,99,2,98,10,1,3,2,35,2,5,7,3,1,1,1,1,7,7,7,7,7,4,7,7,6.625,1
5,8,4,6,0,Easy,Underdog,negMomUnder,5,99,2,65,2,2,2,4,52,2,6,5,2,1,2,2,1,7,6,6,7,7,7,7,6,6.625,
7,14,27,16,20,Easy,Favorite,negMomFav,2,52,1,37,5,1,2,3,25,2,4,3,2,3,4,4,3,5,4,4,5,4,6,6,5,4.875,1
8,15,16,13,19,Hard,Favorite,posMomFav,5,64,5,50,5,1,1,2,30,1,5,2,3,1,1,1,1,7,7,7,7,7,7,7,7,7,1
7,10,11,9,0,Easy,Favorite,negMomFav,4,81,3,44,3,2,1,2,31,2,4,4,2,3,4,3,3,5,4,5,5,4,5,5,5,4.75,
16,19,20,18,27,Hard,Underdog,posMomUnder,5,54,6,69,4,1,4,3,33,1,6,7,1,3,3,2,3,5,5,6,5,5,6,6,6,5.5,1
12,19,16,16,17,Hard,Favorite,posMomFav,7,61,3,21,8,1,2,4,25,2,5,6,3,6,6,6,6,2,2,2,2,3,3,3,5,2.75,1
11,15,14,13,22,Easy,Underdog,negMomUnder,4,50,4,42,4,1,3,4,28,2,5,6,2,2,2,2,2,6,6,6,6,5,7,7,5,6,1
5,12,16,11,12,Hard,Underdog,posMomUnder,6,83,6,88,6,1,3,2,27,2,5,3,1,2,3,2,3,6,5,6,5,5,7,7,6,5.875,2
7,7,20,11,14,Hard,Favorite,posMomFav,4,33,5,72,7,1,1,2,25,1,4,6,1,5,5,6,5,3,3,2,3,4,4,4,5,3.5,1
6,9,14,10,12,Easy,Underdog,negMomUnder,2,75,1,59,6,1,2,2,25,2,4,7,2,3,3,3,2,5,5,5,6,5,4,6,5,5.125,1
11,16,10,12,12,Hard,Favorite,posMomFav,7,96,3,63,8,1,1,2,23,2,5,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,1
11,11,13,12,0,Hard,Underdog,posMomUnder,4,56,5,63,4,2,3,2,63,1,2,3,1,4,5,4,5,4,3,4,3,4,5,5,4,4,
11,13,13,12,13,Easy,Favorite,negMomFav,4,48,3,31,5,1,2,5,28,2,4,4,3,1,1,1,1,7,7,7,7,1,1,1,1,4,1
2,4,10,5,0,Easy,Favorite,negMomFav,2,11,2,16,1,2,2,2,20,1,1,3,2,2,3,2,2,6,5,6,6,5,5,5,5,5.375,
0,3,3,2,3,Hard,Underdog,posMomUnder,5,50,5,46,7,1,2,3,53,1,2,3,2,2,2,2,2,6,6,6,6,6,6,6,6,6,2
12,12,11,12,17,Easy,Underdog,negMomUnder,5,52,5,56,6,1,1,2,36,2,6,7,3,4,2,2,2,4,6,6,6,5,6,6,6,5.625,1
4,5,6,5,0,Hard,Underdog,posMomUnder,5,67,5,70,5,2,2,2,24,2,2,6,3,4,4,3,2,4,4,5,6,5,5,5,5,4.875,
4,10,12,9,0,Easy,Favorite,negMomFav,3,50,1,1,1,2,3,2,38,1,4,3,2,1,1,1,1,7,7,7,7,7,7,7,7,7,
5,12,12,10,0,Hard,Underdog,posMomUnder,5,57,5,62,6,2,2,3,24,2,2,2,1,5,6,6,6,3,2,2,2,2,5,5,2,2.875,
3,6,7,5,10,Easy,Favorite,negMomFav,5,60,2,15,5,1,2,3,23,2,2,6,2,5,3,3,5,3,5,5,3,6,6,6,4,4.75,1
8,11,11,10,14,Hard,Underdog,posMomUnder,6,75,5,55,6,1,1,2,55,1,5,6,1,3,2,1,2,5,6,7,6,5,7,7,6,6.125,1
7,11,7,8,8,Easy,Favorite,negMomFav,6,92,2,33,10,1,3,2,27,2,6,6,2,2,2,2,2,6,6,6,6,5,7,7,6,6.125,1
7,5,12,8,10,Easy,Favorite,negMomFav,3,87,3,65,8,1,1,4,36,2,5,7,2,2,2,2,1,6,6,6,7,6,6,7,6,6.25,1
17,21,25,21,29,Hard,Underdog,posMomUnder,6,64,6,83,8,1,4,2,38,1,6,7,2,5,3,3,3,3,5,5,5,6,6,6,6,5.25,1
18,16,19,18,25,Hard,Favorite,posMomFav,3,50,5,50,5,1,2,3,51,2,2,5,3,4,4,4,4,4,4,4,4,4,5,5,5,4.375,1
2,6,8,5,7,Easy,Underdog,negMomUnder,3,50,2,10,2,1,3,2,29,2,4,4,2,1,1,1,1,7,7,7,7,7,7,7,7,7,1
7,11,13,10,13,Hard,Underdog,posMomUnder,4,50,4,50,5,1,2,2,40,2,2,4,3,5,4,5,5,3,4,3,3,3,4,6,4,3.75,1
3,5,10,6,0,Hard,Favorite,posMomFav,5,70,6,84,3,2,2,3,32,2,4,5,1,5,5,5,6,3,3,3,2,3,7,7,5,4.125,
6,4,8,6,0,Easy,Underdog,negMomUnder,3,44,4,60,5,2,2,2,19,1,4,6,3,2,1,2,2,6,7,6,6,7,6,7,6,6.375,
15,19,20,18,0,Hard,Favorite,posMomFav,7,82,6,85,8,2,2,3,55,2,4,6,1,2,3,3,4,6,5,5,4,5,6,6,5,5.25,
9,12,14,12,10,Hard,Favorite,posMomFav,5,59,5,57,5,1,2,2,67,2,2,4,3,5,4,6,6,3,4,2,2,4,2,3,3,2.875,2
6,8,7,7,0,Easy,Underdog,negMomUnder,5,37,3,24,4,2,1,2,19,2,5,4,3,3,3,2,3,5,5,6,5,5,6,6,6,5.5,
3,6,4,4,13,Easy,Favorite,negMomFav,5,8,3,7,5,1,2,3,32,1,1,5,3,6,5,5,5,2,3,3,3,2,4,3,2,2.75,1
5,9,8,7,0,Easy,Underdog,negMomUnder,5,63,2,19,5,2,1,5,45,2,6,5,2,3,2,2,2,5,6,6,6,5,6,6,6,5.75,
14,7,11,11,0,Easy,Underdog,negMomUnder,3,80,5,78,6,2,3,3,25,2,4,4,3,4,3,4,3,4,5,4,5,4,7,7,7,5.375,
