"Position","S_StillLose","S_Impact","B_StillLose","B_impact","sex","country","job","educat","eduyrs_1","age_1","SComp","BComp","B_C1","B_C2","B_C3","B_C4","B_C5","B_C6","S_C1","S_C2","S_C3","S_C4","S_C5","S_C6","S_good","B_good"
"early",7,5,7,3,1,1,1,3,16.0,30.0,3.6666666666666665,2.0,2,2,2,2,2,2,4,4,3,4,3,4,6,2
"early",5,4,4,4,1,1,1,2,12.0,68.0,3.3333333333333335,3.5,3,4,4,4,3,3,4,4,3,2,4,3,5,5
"late",3,6,6,5,1,1,1,2,16.0,25.0,3.3333333333333335,2.6666666666666665,2,2,3,2,3,4,3,3,4,3,3,4,4,3
"late",7,6,7,2,1,1,2,2,16.0,58.0,4.333333333333333,1.6666666666666667,1,2,2,2,2,1,5,5,4,4,4,4,7,1
"late",4,4,4,4,1,1,1,2,16.0,40.0,3.3333333333333335,3.0,3,3,3,3,3,3,3,3,3,3,4,4,5,4
"early",7,2,7,1,1,1,1,4,12.0,50.0,2.6666666666666665,2.1666666666666665,2,2,3,2,2,2,3,3,3,2,3,2,2,2
"late",6,6,3,6,1,1,1,3,15.0,50.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,4
"early",5,4,5,4,2,1,7,3,14.0,30.0,3.3333333333333335,3.0,3,3,3,3,3,3,3,4,3,4,3,3,4,4
"early",7,3,7,3,2,1,2,4,13.0,44.0,2.6666666666666665,3.0,3,3,3,3,3,3,3,3,3,2,2,3,4,5
"early",7,2,7,2,1,1,1,4,12.0,33.0,3.0,2.1666666666666665,2,2,3,2,2,2,3,3,3,3,3,3,3,1
"early",6,7,7,2,1,1,1,2,16.0,29.0,3.1666666666666665,2.3333333333333335,2,3,3,2,2,2,3,3,3,4,3,3,4,2
"late",7,2,7,2,2,1,1,3,14.0,35.0,2.0,2.0,1,2,3,1,1,4,1,3,3,1,2,2,2,1
"early",7,3,7,2,1,1,1,2,17.0,25.0,3.0,2.3333333333333335,3,2,3,2,2,2,3,3,3,3,3,3,4,2
"late",5,7,1,7,2,1,1,2,15.0,33.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,7,7
"late",6,2,3,4,2,1,1,1,18.0,36.0,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,3,2
"early",6,1,7,1,1,1,1,2,16.0,25.0,2.5,2.5,2,2,3,3,2,3,2,3,3,3,2,2,4,2
"early",5,5,5,5,1,1,1,1,11.0,26.0,4.166666666666667,4.166666666666667,5,4,4,5,3,4,4,4,5,5,4,3,6,6
"late",5,2,6,3,1,1,1,2,16.0,32.0,2.0,2.0,2,2,3,2,1,2,2,1,3,2,2,2,3,4
"late",5,5,2,7,2,1,2,2,16.0,37.0,4.166666666666667,3.5,4,3,3,3,4,4,4,5,4,4,3,5,4,5
"early",7,5,7,1,2,1,7,4,13.0,39.0,3.6666666666666665,2.0,2,2,3,2,1,2,4,4,3,3,3,5,4,3
"early",7,1,7,1,1,1,1,4,14.0,36.0,1.5,1.8333333333333333,2,2,3,2,1,1,2,2,2,1,1,1,1,3
"early",4,5,5,5,2,1,2,3,12.0,30.0,4.0,4.166666666666667,3,4,5,4,5,4,3,4,4,5,4,4,5,7
"early",7,5,7,3,2,1,1,4,13.0,43.0,3.0,2.0,2,2,2,2,2,2,3,3,3,3,3,3,4,3
"early",4,4,4,4,1,1,1,2,20.0,25.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,4
"early",4,3,4,3,2,1,1,1,17.0,34.0,2.8333333333333335,2.6666666666666665,3,2,3,3,2,3,3,3,3,2,3,3,4,3
"late",6,1,1,7,2,1,2,4,12.0,26.0,2.8333333333333335,3.6666666666666665,5,4,4,3,3,3,5,3,3,2,2,2,2,4
"late",7,2,7,6,2,1,5,1,18.0,67.0,1.6666666666666667,1.5,1,1,3,1,1,2,2,1,3,1,2,1,2,1
"late",5,4,5,5,1,1,1,1,20.0,35.0,2.5,3.1666666666666665,3,3,3,3,4,3,3,3,3,2,2,2,4,4
"late",6,4,5,5,2,1,2,2,17.0,25.0,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,3,2
"late",7,7,7,1,1,1,1,3,14.0,39.0,2.5,2.1666666666666665,3,1,4,2,1,2,2,1,3,3,3,3,2,2
"early",7,1,7,4,2,1,1,3,14.0,33.0,2.8333333333333335,3.0,3,3,3,3,3,3,3,3,3,2,3,3,4,4
"late",5,7,5,7,1,1,1,2,16.0,30.0,1.8333333333333333,2.0,2,2,2,2,2,2,2,2,2,1,2,2,2,2
"early",7,5,7,1,1,1,1,4,16.0,40.0,4.0,3.0,3,3,3,3,3,3,4,4,4,4,4,4,6,2
"early",6,6,5,4,1,1,1,1,18.0,46.0,3.0,2.3333333333333335,3,2,3,2,2,2,3,3,3,3,3,3,4,3
"early",7,1,7,1,2,1,2,1,19.0,58.0,2.5,1.8333333333333333,2,1,3,1,2,2,2,3,3,3,2,2,3,2
"late",6,2,4,4,2,1,2,3,15.0,42.0,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,1,2
"late",5,5,5,5,2,1,1,2,14.0,61.0,3.5,3.8333333333333335,4,3,4,3,5,4,3,3,4,4,3,4,4,5
"early",7,1,7,1,1,1,1,2,17.0,35.0,1.5,2.3333333333333335,2,3,3,1,2,3,1,1,2,2,1,2,3,3
