EndDate,CTS_ID,LS1,LS2,LS3,LS4,LS5,LS6,LS7,LS8,LS9,LS10,LS11,LS12,LS13,LS14,LS15,LS16,LS17,LS18,LS19,LS20
2/9/2020 13:45,CTS030,3,3,1,3,4,3,1,2,3,3,2,2,2,2,4,4,3,3,3,4
2/9/2020 17:39,CTS029,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3
2/9/2020 19:58,CTS026,4,1,3,3,3,3,2,3,4,3,2,3,3,3,3,3,2,3,3,3
2/10/2020 11:10,CTS031,4,2,2,2,4,3,2,2,3,3,2,2,2,2,3,3,3,2,4,4
2/13/2020 15:35,CTS034,3,4,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,4,3,3
2/13/2020 16:50,CTS032,3,3,3,2,4,3,2,1,3,4,2,1,1,2,4,3,3,2,4,4
2/16/2020 16:22,CTS036,3,3,3,3,4,2,4,4,2,3,3,3,4,3,2,2,3,4,3,3
2/16/2020 22:30,CTS038,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3
2/17/2020 11:46,CTS041,4,1,1,1,4,3,1,1,4,4,2,1,1,1,4,4,2,1,4,4
2/17/2020 13:11,CTS039,2,3,3,3,2,2,3,3,2,2,3,3,3,3,2,2,3,3,2,3
2/18/2020 9:56,CTS037,3,3,1,2,3,3,1,2,4,4,2,3,2,1,4,3,2,3,4,4
2/19/2020 7:59,CTS040,3,2,2,2,3,3,2,3,3,4,2,1,3,3,1,4,2,2,4,4
2/20/2020 15:03,CTS042,3,1,1,1,4,4,1,3,4,3,2,1,3,1,4,4,4,3,4,4
2/21/2020 10:24,CTS044,3,2,1,1,4,4,2,1,4,4,2,1,3,1,4,3,1,1,4,4
2/23/2020 12:44,CTS046,2,3,3,3,3,2,3,3,2,2,3,2,3,3,2,3,2,2,2,2
2/23/2020 15:31,CTS047,3,1,1,1,4,4,2,2,4,4,1,1,1,1,4,4,2,1,4,4
2/23/2020 17:05,CTS048,3,2,2,2,4,3,1,1,3,4,2,1,1,1,4,4,2,4,4,4
2/23/2020 18:58,CTS033,3,4,4,3,2,2,3,3,3,3,3,3,3,3,4,2,2,4,2,2
2/24/2020 13:52,CTS052,3,1,2,2,4,3,2,1,2,4,1,1,4,1,4,2,1,1,4,4
2/26/2020 15:41,CTS045,3,2,2,3,4,4,3,1,4,4,3,2,2,3,3,4,3,3,4,4
2/26/2020 15:59,CTS051,2,3,3,3,3,3,3,2,4,3,3,3,4,3,3,3,2,3,3,3
2/26/2020 17:18,CTS050,3,2,3,3,3,3,2,2,3,3,2,2,3,3,2,3,2,2,3,3
2/27/2020 0:24,CTS049,4,2,1,1,4,4,1,1,4,4,2,1,1,1,1,4,2,1,4,4
2/27/2020 10:20,CTS055,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,2,2,3,3
2/27/2020 12:14,CTS054,2,3,3,3,2,2,3,2,2,2,2,2,3,3,3,3,3,3,3,3
2/29/2020 14:48,CTS059,3,3,2,2,3,2,1,2,3,2,3,3,3,3,2,2,2,3,3,4
2/29/2020 15:53,CTS058,3,2,2,2,4,3,2,3,3,3,2,2,2,3,4,4,2,3,3,4
3/1/2020 10:45,CTS060,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/1/2020 11:11,CTS062,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/1/2020 22:48,CTS063,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4
3/2/2020 13:24,CTS043,3,2,1,1,4,3,1,2,4,4,2,2,1,1,4,4,1,2,4,4
3/2/2020 16:55,CTS053,3,4,4,4,2,2,3,3,3,2,4,3,4,4,2,3,1,4,1,2
3/3/2020 11:03,CTS066,3,4,4,3,2,3,3,3,2,2,3,3,3,4,2,3,3,4,3,3
3/3/2020 12:52,CTS070,4,1,1,1,4,3,1,1,4,4,2,1,1,1,4,3,1,1,4,4
3/3/2020 16:52,CTS068,2,3,3,3,2,2,3,3,2,2,3,2,3,3,2,3,3,3,3,3
3/3/2020 17:23,CTS065,3,4,3,4,3,3,4,2,3,3,4,4,4,4,2,3,3,4,3,3
3/4/2020 11:13,CTS071,3,3,3,2,3,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3
3/4/2020 14:55,CTS069,3,3,2,3,2,3,3,2,3,2,3,2,3,3,3,3,3,3,3,3
3/5/2020 15:45,CTS072,3,3,2,3,3,3,2,1,3,3,3,2,2,3,4,3,3,3,4,4
3/5/2020 19:38,CTS073,2,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,2,4,3,4
3/6/2020 8:47,CTS074,3,2,2,3,3,3,2,2,3,3,3,2,3,3,4,4,2,2,4,4
3/6/2020 16:08,CTS067,3,2,4,3,3,3,3,3,3,3,3,3,4,4,2,2,3,4,2,2
3/6/2020 16:11,CTS057,3,4,3,3,3,3,1,3,3,3,2,2,1,1,3,3,3,2,4,4
3/7/2020 11:45,CTS077,3,3,1,2,3,4,1,2,3,4,2,3,1,2,3,4,2,1,4,4
3/7/2020 12:33,CTS076,3,1,1,2,3,3,1,1,3,4,2,1,1,1,4,4,3,3,4,4
3/8/2020 19:44,CTS075,4,2,2,2,3,4,2,1,4,3,2,2,2,2,4,3,2,1,4,4
3/10/2020 11:56,CTS080,3,1,2,3,3,3,3,2,3,3,2,2,2,3,4,3,3,3,3,4
3/11/2020 0:15,CTS078,3,2,1,2,3,3,1,3,3,4,3,2,1,2,4,4,2,2,4,4
3/11/2020 14:22,CTS079,3,3,2,3,3,3,4,4,3,3,2,3,4,3,3,2,2,3,2,3
3/11/2020 15:02,CTS081,2,4,3,4,3,2,4,3,2,2,3,2,4,3,3,3,3,3,3,3
3/11/2020 15:46,CTS083,2,3,2,3,2,2,1,4,3,4,3,2,3,3,3,2,3,2,4,4
3/11/2020 22:28,CTS082,3,3,3,2,3,3,1,3,3,3,2,1,2,2,3,3,2,2,3,4
3/12/2020 16:27,CTS087,3,3,1,3,3,3,3,2,4,3,2,3,3,3,2,2,1,3,3,4
3/12/2020 18:26,CTS056,3,3,3,3,4,4,2,2,3,3,2,2,3,3,4,4,2,3,4,4
3/12/2020 23:06,CTS085,3,3,3,3,3,3,2,2,3,3,2,3,2,2,3,3,3,2,4,4
3/13/2020 11:40,CTS089,3,2,2,2,3,3,2,2,3,3,2,2,2,2,3,3,2,2,3,3
3/13/2020 16:43,CTS084,3,2,2,2,3,3,2,2,3,3,3,3,2,2,4,4,3,3,4,4
3/14/2020 17:46,CTS088,3,2,1,2,3,3,2,1,3,3,2,2,2,1,3,3,3,2,4,4
3/14/2020 22:22,CTS091,3,3,1,3,3,3,3,3,4,3,2,2,2,3,3,3,2,3,3,4
3/16/2020 20:11,CTS092,3,2,1,2,4,3,2,2,3,3,1,2,2,2,3,4,2,2,4,4
3/20/2020 10:52,CTS096,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,4,3,2,3
3/20/2020 13:52,CTS095,3,2,2,3,3,3,2,2,4,4,3,2,2,2,3,3,1,3,4,4
3/20/2020 14:27,CTS090,3,2,3,3,3,3,3,2,4,3,2,2,2,2,3,2,2,3,3,3
3/20/2020 19:09,CTS094,3,2,2,3,4,3,1,1,3,4,3,3,2,2,3,4,3,2,4,4
3/21/2020 12:47,CTS098,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,2,4,4
3/23/2020 0:24,CTS093,3,3,3,3,4,4,3,2,3,4,3,2,2,2,4,3,3,3,3,4
3/24/2020 11:49,CTS099,3,4,3,4,2,2,4,4,4,2,3,4,4,3,3,2,3,4,3,2
3/26/2020 14:14,CTS100,3,3,3,4,3,3,3,3,2,2,4,4,3,3,4,2,1,3,3,3
3/24/2020 13:17,CTS086,,,,,,,,,,,,,,,,,,,,
4/12/2020 9:13,CTS101,2,3,4,4,2,2,4,3,2,2,4,2,4,4,2,2,3,4,3,3
