,Gender,Age,Race,Ideo,PartyID,Religiousity,SES,Residency_1,Residency_2,Income,PS,feeling,voting,eval
63,2,20,4,4,3,8,3,1,24,10,1,59,36,475
64,1,19,3,5,5,1,3,1,24,4,3,86,71,785
65,2,19,4,6,6,8,3,1,24,8,4,,86,
66,2,20,4,3,4,2,4,1,24,9,2,58,56,57
67,1,20,1,1,4,1,4,1,24,4,1,100,98,99
68,1,19,3,5,5,1,3,1,24,5,3,63,62,625
69,2,17,3,4,4,1,4,1,24,10,4,48,39,435
70,2,19,"4,5",2,4,5,4,1,24,10,1,74,70,72
71,2,21,4,2,2,4,4,1,24,10,3,63,69,66
72,2,17,3,3,4,7,3,1,24,3,2,27,17,22
73,1,19,4,2,2,4,4,1,24,8,2,44,38,41
74,2,21,3,1,3,1,1,1,24,2,1,67,52,595
75,1,18,4,6,6,8,4,1,24,10,3,80,83,815
76,2,18,3,2,4,,3,1,24,1,4,40,30,35
77,1,29,4,5,5,2,2,1,24,2,2,90,40,65
78,2,18,4,2,2,2,3,1,24,8,4,25,0,125
79,2,18,4,1,1,5,4,1,14,3,1,90,90,90
80,2,20,"4,5",4,4,6,4,1,24,8,3,72,74,73
81,2,19,4,1,4,1,4,1,24,9,4,18,9,135
82,2,20,4,4,5,6,4,1,24,8,2,50,50,50
83,1,19,4,6,6,2,4,1,24,8,1,15,5,10
84,2,21,4,2,3,1,4,1,24,10,3,92,82,87
85,2,20,4,4,5,4,3,1,24,7,4,50,50,50
86,1,18,4,6,6,5,4,1,51,10,2,80,60,70
87,2,22,4,2,3,3,3,1,24,6,1,70,80,75
88,2,20,3,4,4,4,3,1,24,4,4,17,3,10
89,2,22,4,2,2,6,2,1,24,1,3,100,100,100
90,1,18,4,4,5,2,4,1,51,7,2,65,78,715
91,2,18,4,3,3,7,3,1,24,9,1,92,91,915
92,1,20,4,6,6,7,4,1,24,8,4,79,95,87
93,2,18,4,2,2,2,4,1,14,10,2,15,0,75
94,1,23,4,2,2,7,4,1,24,8,1,95,100,975
95,1,19,4,2,2,1,4,1,24,9,3,82,81,815
96,2,20,4,4,4,4,2,1,24,4,3,70,71,705
97,1,19,4,4,5,7,2,1,24,1,1,47,64,555
98,2,19,4,3,5,3,3,1,24,7,3,,,
99,2,21,4,2,2,9,4,1,24,10,4,20,0,10
100,1,19,4,2,4,3,3,1,24,8,2,50,10,30
101,1,18,4,6,5,6,4,1,51,8,3,40,35,375
102,1,22,4,2,2,4,4,1,,10,4,10,0,5
103,2,20,4,1,1,2,3,1,24,5,1,91,91,91
104,2,20,2,2,2,5,4,1,24,8,2,40,40,40
105,2,20,4,5,5,8,3,1,24,9,3,53,51,52
106,2,22,3,4,4,1,4,1,24,5,3,51,60,555
107,2,18,4,5,5,5,3,1,24,6,1,28,35,315
108,2,18,4,2,2,2,4,1,24,8,4,19,5,12
109,2,20,4,1,1,1,2,1,24,4,2,20,20,20
