id,trial,image,imagecategory,pointx,pointy
3,14,17,0,-6.999617,-1.082125
3,15,3,0,0.541111,-8.000827
3,16,40,1,-7.750961,-0.636594
3,17,38,1,-7.594643,-0.350137
3,18,16,0,-1.622946,-6.717224
3,19,10,0,-8.997143,-0.127324
3,20,36,1,-1.368472,8.966088
3,21,12,0,-0.318307,-9.771747
3,22,18,0,-0.795724,-9.771747
3,23,31,1,8.686355,0.159155
3,24,29,1,-0.254646,6.18293
3,25,27,1,8.063246,-0.604766
3,26,11,0,-9.307399,-7.093673
3,27,26,1,-1.018484,-8.468494
3,28,15,0,-0.795724,7.18769
3,29,9,0,8.219209,1.050305
3,30,35,1,-0.318307,-8.188026
3,31,34,1,0.891196,-8.686355
3,32,14,0,7.281669,-0.636594
3,33,13,0,-0.350137,-8.28156
3,34,2,0,7.406912,-0.795724
3,35,22,1,-9.40037,1.241214
3,36,6,0,-1.845559,-8.624134
3,37,37,1,-2.481265,5.426812
3,38,5,0,-1.400285,5.016439
3,39,21,1,-9.369385,-0.095493
3,40,4,0,0.541111,7.657184
4,1,11,0,-0.636594,1.113944
4,2,1,0,4.289153,-3.243292
4,3,15,0,-1.050305,-2.513035
4,4,38,1,0.190985,-0.318307
4,5,26,1,7.156355,4.447385
4,6,14,0,-0.954841,-1.018484
4,7,25,1,6.717224,-2.957652
4,8,13,0,0.827548,4.257499
4,9,2,0,3.718994,-3.401913
4,10,3,0,0.350137,-1.559333
4,11,29,1,-2.036325,-5.26904
4,12,23,1,-2.798899,3.972496
4,13,24,1,1.81376,-9.864464
4,14,5,0,0.159155,-0.413796
4,15,32,1,3.084622,3.084622
4,16,10,0,-5.931118,-2.449493
4,17,28,1,5.552971,-0.063662
4,18,30,1,-1.81376,3.021141
4,19,7,0,-2.036325,0.541111
4,20,4,0,-0.954841,-3.052883
4,21,17,0,6.277298,-0.986663
4,22,19,0,-6.371633,-4.700413
4,23,40,1,2.417719,-3.972496
4,24,36,1,0.477454,3.338471
4,25,9,0,4.320805,-4.98485
4,26,34,1,-0.954841,1.368472
4,27,35,1,7.938389,-9.276398
4,28,39,1,9.121311,-9.555209
4,29,16,0,3.401913,-2.036325
4,30,37,1,0.413796,-8.250387
4,31,21,1,-1.909152,-7.875932
4,32,8,0,0.318307,-2.322389
4,33,20,0,-0.222816,-5.61603
4,34,33,1,5.111188,-3.148096
4,35,18,0,-0.350137,3.655595
4,36,31,1,8.872891,-3.052883
4,37,12,0,-4.004173,0.66842
4,38,6,0,3.655595,3.338471
4,39,22,1,7.469507,-9.245392
4,40,27,1,7.469507,-7.219021
5,1,8,0,3.11636,-2.29061
5,2,10,0,-3.718994,1.622946
5,3,11,0,3.718994,2.767143
5,4,13,0,-2.925905,0.700247
5,5,40,1,3.052883,-2.163478
5,6,39,1,-3.528771,-2.004534
5,7,28,1,-2.703626,2.449493
5,8,36,1,0.095493,1.59114
5,9,12,0,4.225842,0.190985
5,10,33,1,4.194183,-2.163478
5,11,18,0,-0.350137,0.986663
5,12,20,0,-2.513035,-2.481265
5,13,15,0,2.004534,0
5,14,31,1,-2.29061,1.909152
5,15,6,0,-1.432096,-0.031831
5,16,37,1,0,-2.449493
5,17,27,1,-2.862405,1.877356
5,18,34,1,2.29061,0.318307
5,19,25,1,3.845764,-2.036325
5,20,1,0,-0.859372,0.572939
5,21,32,1,-0.477454,-2.576572
5,22,4,0,-2.957652,-1.050305
5,23,23,1,2.544804,2.576572
5,24,21,1,-1.368472,1.81376
5,25,19,0,2.004534,3.306746
5,26,22,1,3.243292,-0.541111
5,27,2,0,-2.830653,0.095493
5,28,9,0,-3.909135,-0.986663
5,29,7,0,5.426812,1.718358
5,30,17,0,3.49706,0.700247
