condition	stimulus	Min	Max	Crossover	Slope	exitflag	R	LS	AR	N	status
SelfPaced	hole	5.95160572491871e-08	0.842696601880256	719.917901015063	0.00110097863104628	2010	0.994088291597612	0.00100431667055123	0.977720491026569	326	1
SelfPaced	horn	1.27720407583354e-08	0.938291525282213	621.938583799546	0.00158676971148906	2010	0.998858208136777	0.000285760495725052	0.937310073284903	326	1
SelfPaced	horse	0.0403444632574548	0.864622797367376	527.771942784214	0.00268268630275207	2010	0.998240227928311	0.000437278938965043	0.95263453833304	326	1
SelfPaced	hose	1.97364783405263e-08	0.820953601564434	564.785624434745	0.00113008075544055	2010	0.996507995465418	0.00062027021288759	0.957124434255423	326	1
SelfPaced	judge	0.0254714460800673	0.901403767088733	612.988719868595	0.0019376078617462	2010	0.995960376263286	0.00101721544694832	0.976202443725343	326	1
SelfPaced	jug	0.0493039248086883	0.919540167502543	703.594203192149	0.00156858830460935	2010	0.994706623842565	0.00132989849024606	0.98309396522923	326	1
SelfPaced	moon	0.0807432204191206	0.919535073754807	713.712815617937	0.00174299315617953	2010	0.995114767581303	0.00110540934760901	0.977812940549175	326	1
SelfPaced	moose	0.00271468434138894	0.894337084621416	570.398798893962	0.00186844985219931	2010	0.996749199569814	0.000809229181274613	0.972959691510216	326	1
SelfPaced	peace	0.062009690685721	0.966291597571632	757.439204329235	0.00199349474817664	2010	0.993905411408002	0.00158697041467653	0.984208485219964	326	1
SelfPaced	peach	0.0272680977862813	0.92558161416903	622.826069559338	0.00222234510518355	2010	0.997132168748125	0.000801051490373941	0.974661367286854	326	1
SelfPaced	peak	0.0277601867147533	0.896551702575902	759.671313720784	0.00129679430317349	2010	0.995482570048148	0.000917752947813898	0.975369912667245	326	1
SelfPaced	peas	0.0154710636975915	0.944443959116577	585.109524371088	0.00196959835210479	2010	0.998832617933726	0.000333989978338541	0.946755532054552	326	1
SelfPaced	pig	2.66250802893886e-06	0.907533742589827	573.929588266878	0.00217163434497487	2010	0.9989337068298	0.000294886244934008	0.945456913999782	326	1
SelfPaced	pit	3.85824954207692e-08	0.880476392548561	588.080100164563	0.00156158283294861	2010	0.999001286977365	0.00023091743055312	0.909175239758268	326	1
SelfPaced	plane	4.87818163641407e-08	0.936805721279487	646.796122601858	0.00164141185963056	2010	0.99916021278419	0.000222842438334758	0.916913238031986	326	1
