id,trial,location,image,imagecategory,target_delay,rt_ej,imageduration,rt_detection,target_correct,ej_correct
1,38,0,19,0,597.52,437.47,1280.4,234.74,0,0
1,39,2,31,1,810.92,373.45,1408.44,213.4,0,1
1,40,3,16,0,608.19,1077.67,1963.28,266.75,0,0
1,41,0,4,0,1024.32,437.47,1707.2,234.74,0,0
1,42,2,15,0,768.24,501.49,1515.14,234.74,0,0
1,43,1,19,0,992.31,597.52,2037.97,437.47,0,0
1,44,3,40,1,586.85,469.48,1376.43,309.43,0,0
1,45,1,6,0,544.17,618.86,1451.12,277.42,0,0
1,46,1,11,0,672.21,597.52,1568.49,288.09,0,0
1,47,1,12,0,533.5,597.52,1397.77,256.08,0,0
1,48,3,7,0,650.87,650.87,1568.49,256.08,0,0
1,49,2,12,0,981.64,650.87,1877.92,234.74,0,0
1,50,0,3,0,800.25,490.82,1504.47,202.73,0,0
1,51,3,23,1,949.63,458.81,1664.52,245.41,0,0
1,52,1,18,0,1002.98,885.61,2198.02,298.76,0,0
1,53,0,1,0,714.89,426.8,1451.12,298.76,0,0
1,54,3,31,1,757.57,533.5,1557.82,256.08,0,0
1,55,2,8,0,992.31,1088.34,2315.39,224.07,0,0
1,56,3,30,1,544.17,426.8,1248.39,266.75,0,0
1,57,3,26,1,608.19,448.14,1301.74,234.74,0,0
1,58,2,34,1,949.63,842.93,1995.29,192.06,0,0
1,59,2,4,0,1013.65,416.13,1675.19,234.74,0,0
1,60,3,28,1,693.55,405.46,1440.45,330.77,0,0
1,61,2,33,1,1067,394.79,1696.53,224.07,0,0
1,62,2,20,0,693.55,426.8,1419.11,288.09,0,0
1,63,0,10,0,1034.99,437.47,1685.86,202.73,0,0
1,64,0,26,1,661.54,405.46,1408.44,330.77,0,0
1,65,3,34,1,789.58,448.14,1451.12,202.73,0,0
1,66,0,23,1,757.57,405.46,1451.12,277.42,0,0
1,67,2,22,1,906.95,362.78,1536.48,256.08,0,0
1,68,1,31,1,682.88,469.48,1461.79,298.76,0,0
1,69,2,36,1,810.92,586.85,1643.18,234.74,0,0
1,70,1,37,1,896.28,458.81,1675.19,309.43,0,0
1,71,2,9,0,1013.65,416.13,1643.18,202.73,0,0
1,72,0,29,1,757.57,341.44,1355.09,245.41,0,0
1,73,1,20,0,597.52,661.54,1600.5,330.77,0,0
1,74,3,8,0,714.89,554.84,1515.14,234.74,0,0
1,75,0,8,0,938.96,416.13,1589.83,224.07,0,0
1,76,2,6,0,949.63,416.13,1621.84,245.41,0,0
1,77,2,5,0,682.88,384.12,1301.74,224.07,0,0
1,78,0,30,1,1002.98,405.46,1632.51,213.4,0,0
1,79,3,36,1,1056.33,341.44,1643.18,234.74,0,0
1,80,0,28,1,960.3,320.1,1525.81,234.74,0,0
1,81,0,27,1,757.57,352.11,1387.1,266.75,0,0
1,82,3,35,1,650.87,384.12,1259.06,213.4,0,0
1,83,1,2,0,874.94,469.48,1696.53,341.44,0,0
1,84,2,7,0,640.2,416.13,1259.06,192.06,0,0
1,85,1,1,0,714.89,458.81,1472.46,288.09,0,0
1,86,2,30,1,1013.65,437.47,1664.52,202.73,0,0
1,87,1,9,0,618.86,405.46,1355.09,320.1,0,0
1,88,1,16,0,544.17,608.19,1472.46,309.43,0,0
1,89,3,32,1,992.31,469.48,1760.55,288.09,0,0
1,90,2,16,0,586.85,384.12,1248.39,266.75,0,0
1,91,1,39,1,1024.32,394.79,1749.88,320.1,0,0
1,92,1,14,0,800.25,469.48,1579.16,298.76,0,0
1,93,0,17,0,970.97,586.85,1877.92,309.43,0,0
1,94,1,33,1,832.26,416.13,1461.79,202.73,0,0
