subjID,trialNum,uniqueID,trialType,numInSequence,numCorrect,ITI,Total Trial Duration,Correct Sequence,Response Sequence,Accuracy
101,21,21,space,7,5,1.5,18.5402337,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle', 'Circle', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Circle', 'Circle', 'Circle', 'Circle']",0.714285714
101,22,24,space,7,7,1.5,20.6116987,"['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Circle', 'Diamond', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Circle', 'Diamond', 'Circle']",1
101,23,16,space,6,5,1.5,23.9973756,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond']","['Circle', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond']",0.833333333
101,24,11,space,6,5,1.5,18.5793344,"['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Diamond', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon', 'Pentagon']",0.833333333
102,1,3,space,5,5,1.5,16.5363494,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle']",1
102,2,15,space,6,6,1.5,22.22358,"['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Circle', 'Circle']","['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Circle', 'Circle']",1
102,3,8,space,5,4,1.5,20.6262204,"['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Circle']","['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon']",0.8
102,4,2,space,5,1,1.5,19.103303,"['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Circle', 'Diamond']",0.2
102,5,4,space,5,5,1.5,15.0613192,"['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond']","['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond']",1
102,6,1,space,5,4,1.5,29.1632083,"['Pentagon', 'Diamond', 'Circle', 'Diamond', 'Diamond']","['Pentagon', 'Circle', 'Circle', 'Diamond', 'Diamond']",0.8
102,7,24,space,7,5,1.5,27.7966436,"['Diamond', 'Pentagon', 'Circle', 'Circle', 'Pentagon', 'Circle', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Circle', 'Diamond', 'Pentagon', 'Diamond']",0.714285714
102,8,13,space,6,6,1.5,18.2385306,"['Diamond', 'Pentagon', 'Circle', 'Circle', 'Circle', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Circle', 'Circle', 'Diamond']",1
102,9,12,space,6,6,1.5,17.0838874,"['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Circle', 'Diamond']","['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Circle', 'Diamond']",1
102,10,7,space,5,4,1.5,17.9838146,"['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Diamond']","['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Circle']",0.8
102,11,18,space,7,7,1.5,19.195552,"['Diamond', 'Pentagon', 'Circle', 'Circle', 'Circle', 'Circle', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Circle', 'Circle', 'Circle', 'Diamond']",1
102,12,23,space,7,7,1.5,20.0079798,"['Pentagon', 'Diamond', 'Circle', 'Circle', 'Diamond', 'Pentagon', 'Diamond']","['Pentagon', 'Diamond', 'Circle', 'Circle', 'Diamond', 'Pentagon', 'Diamond']",1
