"Codeall","lockoutall","meanRLall","meanD1all","meanE1all","meanDall","meanErrorall","positionall","recognitionall","correctreproduced"
2034,"yes",2.35,13.412674,5.8,44.79075,0,8.6,11,8.6
2035,"yes",4.1,9.2340335,2.85,52.969635,0.2,3.95,10.1,3.9
2036,"yes",1.2,37.39727,11.7,60.723995,0,11.65,11.85,11.65
2037,"yes",3.15,11.8468095,4.4,53.831465,0.55,8.55,11.4,8.65
2038,"yes",2.55,9.3277635,4.8,43.341125,0.4,7.35,10.8,7.5
2039,"yes",3.25,7.27863255,3.55,49.74543,0.45,3.15,9.85,3.05
2040,"yes",3.45,6.435949,3.75,40.69993,0.1,4.25,10.95,4.25
2041,"yes",2.2,18.703818,6.8,54.368605,0,9.15,11.65,9.15
2042,"yes",1.65,33.83637,11.15,67.744215,0.4,11.05,11.95,11.25
2043,"yes",2.8,17.18939,6.7,57.42107,0,6.85,10.95,6.85
2044,"yes",3,5.797397,4,34.851625,0,2.8,9.85,2.8
2045,"yes",3.15,10.136933,4.6,49.167485,0.2,4.45,10.55,4.4
2046,"yes",3.65,12.889383,3.6,58.47795,0.25,2.45,9.45,2.45
2047,"yes",1.75,31.789415,9.95,64.27634,0.1,11.25,11.8,11.35
2048,"yes",1,30.25204,11.6,48.62955,0.4,10.75,11.95,11
2049,"yes",2.55,8.969565,5.15,40.766505,0.2,7.65,10.85,7.8
2050,"yes",1.2,55.131125,11.9,82.2264,0.1,10.7,11.7,10.6
2051,"yes",2.4,11.1355495,5.5,46.358725,0.3,3.75,9.6,3.8
2052,"yes",4.15,11.000879,2.9,62.760505,0.4,2.1,9.25,2.2
2053,"yes",2,19.360936,6.15,54.798245,0.4,4.7,10.6,4.55
2054,"yes",2.25,39.282795,9.15,86.380215,0.6,9.1,11.5,8.95
2055,"yes",2,22.773225,6.9,52.168045,0.1,4.4,10,4.5
2056,"yes",3,10.2335055,4.6,55.744395,0.6,2.55,9.15,2.6
2057,"yes",3.1,6.91747,4.05,44.09722,0.85,3,9.1,2.9
2058,"yes",1,35.11731,12,56.951865,0,9.75,11.6,9.75
2059,"yes",2.25,19.6322205,5.7,57.16491,0,10.45,11.85,10.45
2060,"yes",3.55,5.188196,3.5,45.335115,0,7.65,11.85,7.65
2061,"yes",1.25,23.950335,11.55,47.43701,0.1,11.1,11.6,11.2
2062,"yes",2.05,14.152665,6.05,45.84121,0,5.1,11.05,5.1
2063,"yes",1.45,30.61529,10.95,55.27332,0.3,9.4,11.6,9.65
2064,"yes",2.3,8.9530605,4.95,42.51737,0.1,5.1,10.45,5.1
2065,"yes",2.4,12.088975,5.65,47.880415,0.5,5.7,10,5.6
2066,"yes",2.4,22.734135,8.3,79.640615,0,8.55,11.05,8.55
2067,"yes",2.8,29.2463265,9.3,78.549595,0.7,9.1,11.5,9.1
2068,"yes",2.1,18.750335,6.75,52.69635,0,8.25,11.2,8.25
2069,"yes",2,14.0766195,7.8,58.7306,0.3,5.55,9.95,5.75
2070,"yes",1.7,29.53103,10.2,64.329485,0.1,11.15,11.65,11.25
2071,"yes",1,34.173305,12,52.56469,0,11.9,11.9,11.9
2072,"yes",1.05,39.91851,12,63.412765,0,11.7,12,11.7
2073,"yes",2.3,22.8143305,6.1,59.794945,0.1,6.45,10.85,6.4
2074,"yes",2.8,13.147285,5.4,55.57967,0.6,4.1,9.95,4
2075,"yes",1.05,31.26877,11.55,63.303505,0,11.9,11.9,11.9
2076,"yes",1,45.5388,11.8,68.321385,0.2,11,11.85,10.8
2077,"yes",3.2,8.4000725,4.15,46.20264,0.1,7.95,11.4,7.9
2078,"yes",2.5,28.706131,8.85,67.476815,0.1,9.75,11.7,9.65
2079,"yes",2.05,14.074438,5.75,53.427505,0.1,3.25,10.35,3.25
2080,"yes",1.35,35.19757,10.55,65.865045,1,9.3,11.5,9.45
2081,"yes",1.1,38.181965,11.6,61.055515,0.3,4.9,11,4.95
2082,"yes",1.55,28.24147,11.25,54.375375,0.3,11.15,11.85,11.1
2083,"yes",3.45,5.522633,4,37.22938,0,6.5,10.65,6.5
2084,"yes",1.85,18.32118,9.1,52.792785,0.4,6.3,10.75,6.45
2085,"yes",3.15,8.9220305,4.4,42.094415,0.1,3,10.55,3
2086,"yes",2.5,17.332547,6.5,56.83689,0,9.8,11.6,9.8
