"subject","value","name"
"subject15",62.877189407,"cond_rad_walkVision_1.5.csv"
"subject16",31.9594689554,"cond_rad_walkVision_1.5.csv"
"subject18",59.789746542,"cond_rad_walkVision_1.5.csv"
"subject19",52.4116010461,"cond_rad_walkVision_1.5.csv"
"subject2",43.758443919,"cond_rad_walkVision_1.5.csv"
"subject20",86.1900774026,"cond_rad_walkVision_1.5.csv"
"subject21",27.5993497532,"cond_rad_walkVision_1.5.csv"
"subject22",60.1621691311,"cond_rad_walkVision_1.5.csv"
"subject24",67.7509800412,"cond_rad_walkVision_1.5.csv"
"subject25",7.23834978729,"cond_rad_walkVision_1.5.csv"
"subject26",66.994501663,"cond_rad_walkVision_1.5.csv"
"subject3",54.3406175927,"cond_rad_walkVision_1.5.csv"
"subject4",45.4765044302,"cond_rad_walkVision_1.5.csv"
"subject5",13.115529042,"cond_rad_walkVision_1.5.csv"
"subject6",46.5600688467,"cond_rad_walkVision_1.5.csv"
"subject7",36.0312688212,"cond_rad_walkVision_1.5.csv"
"subject8",61.4368461478,"cond_rad_walkVision_1.5.csv"
"subject9",143.465392481,"cond_rad_walkVision_1.5.csv"
"subject1",116.300832297,"cond_rad_walkVision_2.0.csv"
"subject10",61.9435268474,"cond_rad_walkVision_2.0.csv"
"subject11",45.0348016934,"cond_rad_walkVision_2.0.csv"
"subject12",66.4621154204,"cond_rad_walkVision_2.0.csv"
"subject13",77.0487110129,"cond_rad_walkVision_2.0.csv"
"subject14",43.1957535137,"cond_rad_walkVision_2.0.csv"
"subject15",44.7854922685,"cond_rad_walkVision_2.0.csv"
"subject16",43.8266569756,"cond_rad_walkVision_2.0.csv"
"subject18",60.2740827073,"cond_rad_walkVision_2.0.csv"
"subject19",57.9990658953,"cond_rad_walkVision_2.0.csv"
"subject2",61.6752583244,"cond_rad_walkVision_2.0.csv"
"subject20",84.8567128422,"cond_rad_walkVision_2.0.csv"
"subject21",53.9689013688,"cond_rad_walkVision_2.0.csv"
"subject22",62.0987061686,"cond_rad_walkVision_2.0.csv"
"subject24",33.6075956185,"cond_rad_walkVision_2.0.csv"
"subject25",108.020349814,"cond_rad_walkVision_2.0.csv"
"subject26",42.0625935932,"cond_rad_walkVision_2.0.csv"
"subject3",59.6628704591,"cond_rad_walkVision_2.0.csv"
"subject4",21.9002662598,"cond_rad_walkVision_2.0.csv"
"subject5",9.30814002763,"cond_rad_walkVision_2.0.csv"
"subject6",47.8408796805,"cond_rad_walkVision_2.0.csv"
"subject7",52.5207427736,"cond_rad_walkVision_2.0.csv"
"subject8",50.4112369425,"cond_rad_walkVision_2.0.csv"
"subject9",160.619317731,"cond_rad_walkVision_2.0.csv"
"subject1",130.250119738,"cond_rad_walkVision_2.5.csv"
"subject10",93.5692174722,"cond_rad_walkVision_2.5.csv"
"subject11",41.5431975277,"cond_rad_walkVision_2.5.csv"
"subject12",41.5441436604,"cond_rad_walkVision_2.5.csv"
"subject13",69.2066532852,"cond_rad_walkVision_2.5.csv"
"subject14",73.7144221688,"cond_rad_walkVision_2.5.csv"
"subject15",22.1704414714,"cond_rad_walkVision_2.5.csv"
"subject16",33.9110644211,"cond_rad_walkVision_2.5.csv"
"subject18",35.9747682178,"cond_rad_walkVision_2.5.csv"
"subject19",61.2995137018,"cond_rad_walkVision_2.5.csv"
"subject2",55.008752169,"cond_rad_walkVision_2.5.csv"
"subject20",83.5411748905,"cond_rad_walkVision_2.5.csv"
"subject21",61.6711488468,"cond_rad_walkVision_2.5.csv"
"subject22",54.6385213431,"cond_rad_walkVision_2.5.csv"
"subject24",41.4059031607,"cond_rad_walkVision_2.5.csv"
"subject25",72.657877601,"cond_rad_walkVision_2.5.csv"
"subject26",31.5581773812,"cond_rad_walkVision_2.5.csv"
"subject3",45.1261343755,"cond_rad_walkVision_2.5.csv"
"subject4",27.0900421627,"cond_rad_walkVision_2.5.csv"
"subject5",16.6256837532,"cond_rad_walkVision_2.5.csv"
"subject6",36.8030318686,"cond_rad_walkVision_2.5.csv"
"subject7",43.9237327658,"cond_rad_walkVision_2.5.csv"
"subject8",82.521695187,"cond_rad_walkVision_2.5.csv"
"subject9",165.50673675,"cond_rad_walkVision_2.5.csv"
"subject1",127.297619966,"cond_rad_walkVision_3.0.csv"
"subject10",97.0281983358,"cond_rad_walkVision_3.0.csv"
"subject11",54.9743045363,"cond_rad_walkVision_3.0.csv"
"subject12",70.7686036977,"cond_rad_walkVision_3.0.csv"
"subject13",69.8265561339,"cond_rad_walkVision_3.0.csv"
"subject14",41.7044866182,"cond_rad_walkVision_3.0.csv"
"subject15",38.7074228803,"cond_rad_walkVision_3.0.csv"
"subject16",49.0712815675,"cond_rad_walkVision_3.0.csv"
"subject18",47.5781779599,"cond_rad_walkVision_3.0.csv"
"subject19",58.7196275092,"cond_rad_walkVision_3.0.csv"
"subject2",89.6721962557,"cond_rad_walkVision_3.0.csv"
"subject20",78.3699005162,"cond_rad_walkVision_3.0.csv"
"subject21",34.6420861682,"cond_rad_walkVision_3.0.csv"
"subject22",49.6215428157,"cond_rad_walkVision_3.0.csv"
"subject24",62.2269978704,"cond_rad_walkVision_3.0.csv"
"subject25",97.5035451276,"cond_rad_walkVision_3.0.csv"
"subject26",62.2740667499,"cond_rad_walkVision_3.0.csv"
"subject3",61.7454546716,"cond_rad_walkVision_3.0.csv"
"subject4",34.307830556,"cond_rad_walkVision_3.0.csv"
"subject5",17.8737124511,"cond_rad_walkVision_3.0.csv"
"subject6",33.255328952,"cond_rad_walkVision_3.0.csv"
"subject7",56.8003994071,"cond_rad_walkVision_3.0.csv"
"subject8",49.0610363517,"cond_rad_walkVision_3.0.csv"
"subject9",151.297833135,"cond_rad_walkVision_3.0.csv"
"subject1",31.8660622632,"cond_rad_wheelBlind_0.5.csv"
"subject10",50.1268536561,"cond_rad_wheelBlind_0.5.csv"
"subject11",49.3874319318,"cond_rad_wheelBlind_0.5.csv"
"subject12",45.1324165787,"cond_rad_wheelBlind_0.5.csv"
"subject13",124.743565599,"cond_rad_wheelBlind_0.5.csv"
"subject14",67.7464831801,"cond_rad_wheelBlind_0.5.csv"
"subject15",56.0584536751,"cond_rad_wheelBlind_0.5.csv"
"subject16",44.3974077665,"cond_rad_wheelBlind_0.5.csv"
"subject18",113.140217631,"cond_rad_wheelBlind_0.5.csv"
"subject19",27.1742464933,"cond_rad_wheelBlind_0.5.csv"
"subject2",70.3121803463,"cond_rad_wheelBlind_0.5.csv"
"subject20",140.793245313,"cond_rad_wheelBlind_0.5.csv"
"subject21",92.7800896805,"cond_rad_wheelBlind_0.5.csv"
"subject22",118.074286852,"cond_rad_wheelBlind_0.5.csv"
"subject23",116.26826373,"cond_rad_wheelBlind_0.5.csv"
"subject24",148.37485448,"cond_rad_wheelBlind_0.5.csv"
"subject25",46.1885407835,"cond_rad_wheelBlind_0.5.csv"
"subject26",88.3709092045,"cond_rad_wheelBlind_0.5.csv"
"subject3",101.825688059,"cond_rad_wheelBlind_0.5.csv"
"subject4",43.3650536857,"cond_rad_wheelBlind_0.5.csv"
"subject5",29.7200869135,"cond_rad_wheelBlind_0.5.csv"
"subject6",36.836066963,"cond_rad_wheelBlind_0.5.csv"
"subject7",68.2007500557,"cond_rad_wheelBlind_0.5.csv"
"subject8",71.888072278,"cond_rad_wheelBlind_0.5.csv"
"subject9",153.751336896,"cond_rad_wheelBlind_0.5.csv"
"subject1",133.751352079,"cond_rad_wheelBlind_1.0.csv"
