id,win,score,R,P,S,,W,L,D,,RT after W,RT after L,RT after D,,WinStay,LoseShift,DrawShift,,Final Score,
14,win,yes,0.322222222222222,0.366666666666667,0.311111111111111,,0.366666666666667,0.344444444444444,0.288888888888889,,325.5,367,275.5,,0.28125,0.0967741935483871,0.807692307692308,,35,
15,win,yes,0.977777777777778,0,0.0222222222222222,,0.355555555555556,0.311111111111111,0.333333333333333,,567,275.5,408.5,,0.967741935483871,0,0.0333333333333333,,36,
16,win,yes,0.377777777777778,0.288888888888889,0.333333333333333,,0.3,0.411111111111111,0.288888888888889,,367,400,300,,0,0.972222222222222,0.846153846153846,,17,
17,win,yes,0.3,0.466666666666667,0.233333333333333,,0.344444444444444,0.311111111111111,0.344444444444444,,684,442,492,,0.67741935483871,0.857142857142857,0.7,,34,
18,win,yes,0.333333333333333,0.333333333333333,0.333333333333333,,0.322222222222222,0.455555555555556,0.222222222222222,,551,584,534,,0,0.780487804878049,0.894736842105263,,17,
19,win,yes,0.322222222222222,0.344444444444444,0.333333333333333,,0.344444444444444,0.333333333333333,0.322222222222222,,117,100,150,,0.3,0.766666666666667,0.758620689655172,,32,
20,win,yes,0.166666666666667,0.377777777777778,0.455555555555556,,0.311111111111111,0.322222222222222,0.366666666666667,,258.5,217,183.5,,0.321428571428571,0.724137931034483,0.90625,,27,
21,win,yes,0.522222222222222,0.277777777777778,0.2,,0.377777777777778,0.2,0.422222222222222,,459,584,334,,0.323529411764706,0.888888888888889,0.756756756756757,,50,
22,win,yes,0.311111111111111,0.366666666666667,0.322222222222222,,0.3,0.322222222222222,0.377777777777778,,500.5,1235,425.5,,0.730769230769231,0.758620689655172,0.735294117647059,,25,
23,win,yes,0.288888888888889,0.344444444444444,0.366666666666667,,0.344444444444444,0.3,0.355555555555556,,375.5,367,350.5,,0.5,0.962962962962963,0.71875,,35,
24,win,yes,0.355555555555556,0.366666666666667,0.277777777777778,,0.366666666666667,0.311111111111111,0.322222222222222,,325.5,308.5,317,,0.4375,0.857142857142857,0.655172413793103,,38,
25,win,yes,0.622222222222222,0.0222222222222222,0.355555555555556,,0.411111111111111,0.277777777777778,0.311111111111111,,184,167,150,,0.972972972972973,0.16,0,,49,
26,win,yes,0.344444444444444,0.388888888888889,0.266666666666667,,0.388888888888889,0.3,0.311111111111111,,267,292,309,,0.257142857142857,0.961538461538461,0.892857142857143,,43,
27,win,yes,0.311111111111111,0.411111111111111,0.277777777777778,,0.344444444444444,0.377777777777778,0.277777777777778,,567,383.5,375.5,,0.258064516129032,0.941176470588235,0.833333333333333,,28,
